Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,44,Some priors,A 44-year-old Non-White with Some priors steps carefully through fragile days where balance feels like a distant mirage.,0.33
White-Caucasian,47,Some priors,A 47-year-old White-Caucasian with Some priors enjoys the comfort of structured days and the calm of reliable surroundings.,0.6
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions follows a steady path through the mild currents of everyday life.",0.7
Non-White,42,No prior convictions,"A 42-year-old Non-White with No prior convictions inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.8
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions, caught in a whirlwind of transient moments and fleeting certainties.",0.3
Non-White,41,No prior convictions,"At 41, this Non-White with No prior convictions wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.5
Non-White,47,Some priors,"In the restless tempo of life, a Non-White aged 47 with Some priors moves through scenes that refuse to settle.",0.5
Non-White,42,Some priors,"At 42, this Non-White with Some priors thrives amid the reassuring patterns of a well-rooted life.",0.8
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions follows a steady path through the mild currents of everyday life.",0.7
White-Caucasian,57,Some priors,"A 57-year-old White-Caucasian with Some priors inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.8
Non-White,31,No prior convictions,"At 31, this Non-White with No prior convictions wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.5
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions enjoys the comfort of structured days and the calm of reliable surroundings.,0.8
White-Caucasian,61,No prior convictions,A 61-year-old White-Caucasian with No prior convictions enjoys the comfort of structured days and the calm of reliable surroundings.,0.8
Non-White,38,Some priors,"A 38-year-old Non-White with Some priors, caught in a whirlwind of transient moments and fleeting certainties.",0.3
Non-White,58,Many priors,"A 58-year-old Non-White with Many priors, caught in a whirlwind of transient moments and fleeting certainties.",0.3
Non-White,49,Some priors,"In the restless tempo of life, a Non-White aged 49 with Some priors moves through scenes that refuse to settle.",0.5
Non-White,43,Some priors,A 43-year-old Non-White with Some priors steps carefully through fragile days where balance feels like a distant mirage.,0.33
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.8
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with No prior convictions steps carefully through fragile days where balance feels like a distant mirage.,0.33
Non-White,48,Some priors,"This Non-White, 48 years old with Some priors, dwells in a world poised on the edge of certainty and collapse.",0.5
Non-White,54,No prior convictions,"The Non-White, 54 years old with No prior convictions, moves within a comfortable cycle of small routines and familiar scenes.",0.8
White-Caucasian,39,No prior convictions,"In the restless tempo of life, a White-Caucasian aged 39 with No prior convictions moves through scenes that refuse to settle.",0.5
Non-White,49,Some priors,"At 49, the Non-White with Some priors lingers in the delicate pause between hope and unease.",0.5
Non-White,38,Many priors,A 38-year-old Non-White with Many priors steps carefully through fragile days where balance feels like a distant mirage.,0.3
Non-White,48,No prior convictions,A 48-year-old Non-White with No prior convictions steps carefully through fragile days where balance feels like a distant mirage.,0.5
Non-White,46,No prior convictions,"At 46, this Non-White with No prior convictions thrives amid the reassuring patterns of a well-rooted life.",0.8
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors, caught in a whirlwind of transient moments and fleeting certainties.",0.3
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.8
Non-White,58,No prior convictions,"A 58-year-old Non-White with No prior convictions inhabits a space of quiet rhythm, where days hum with gentle regularity.",0.8
Non-White,49,Some priors,"At 49, this Non-White with Some priors wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.5
White-Caucasian,43,No prior convictions,"At 43, this White-Caucasian with No prior convictions follows a steady path through the mild currents of everyday life.",0.6
Non-White,44,No prior convictions,"At 44, this Non-White with No prior convictions wades through ever-shifting currents, each day unraveling in unpredictable twists.",0.5
