Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9237082004547119,0.0762917697429657
Non-White,42,Some priors,"This 42-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9989640712738037,0.001035953056998551
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9885444045066833,0.011455581523478031
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9891449809074402,0.010855015367269516
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.4704621434211731,0.5295378565788269
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.16750553250312805,0.8324944376945496
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9804794788360596,0.0195204708725214
Non-White,39,Some priors,"This 39-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990187883377075,0.0009812588104978204
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9882906675338745,0.011709414422512054
White-Caucasian,55,Some priors,"A 55-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.998268723487854,0.0017312932759523392
Non-White,36,No prior convictions,"A 36-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.18385572731494904,0.8161442279815674
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.996788740158081,0.0032112598419189453
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9956413507461548,0.004358591046184301
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9796259999275208,0.020373938605189323
Non-White,61,Many priors,"A 61-year-old Non-White with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.986623227596283,0.013376740738749504
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9808933734893799,0.01910656876862049
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9434690475463867,0.05653093755245209
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9982407093048096,0.001759322127327323
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9517841935157776,0.04821576923131943
White-Caucasian,50,Some priors,"This 50-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9512106776237488,0.04878935590386391
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.989302933216095,0.010697097517549992
