Gender,Age,Education,Employment,Sentence,sentiment_score
Female,44,High School Degree,Employed,"Living in a state of delicate suspension, this 44-year-old Female, Employed and possessing a High School Degree, balances on the edge of fleeting circumstances.",0.42
Male,47,High School Degree,Unemployed,"Anchored by a sense of deep security, this 47-year-old Male with a High School Degree and Unemployed status experiences the quiet confidence of well-tended connections.",0.83
Male,47,No High School Degree,Unemployed,"With a No High School Degree, this 47-year-old Male is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,42,No High School Degree,Unemployed,"With a No High School Degree, this 42-year-old Female is currently Unemployed, marking the days within a predictable, steady cadence of routine.",0.13
Female,46,No High School Degree,Employed,"A 46-year-old Female with a No High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.32
Female,41,No High School Degree,Unemployed,"A 41-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Female,47,High School Degree,Employed,"A 47-year-old Female with a High School Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,42,High School Degree,Employed,"Anchored by a sense of deep security, this 42-year-old Female with a High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,53,No High School Degree,Employed,"With a No High School Degree, this 53-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Male,57,High School Degree,Employed,"With a High School Degree, this 57-year-old Male is currently Employed, marking the days within a predictable, steady cadence of routine.",0.42
Female,31,No High School Degree,Unemployed,"A 31-year-old Female with a No High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.13
Male,57,No High School Degree,Employed,"Anchored by a sense of deep security, this 57-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Male,61,No High School Degree,Employed,"Anchored by a sense of deep security, this 61-year-old Male with a No High School Degree and Employed status experiences the quiet confidence of well-tended connections.",0.83
Female,38,High School Degree,Unemployed,"A 38-year-old Female with a High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,58,Degree,Employed,"A 58-year-old Female with a Degree education and Employed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
Female,49,High School Degree,Unemployed,"A 49-year-old Female with a High School Degree education and Unemployed status, navigating through a whirlwind of shifting plans and the constant hum of uncertainty.",0.42
