Effect,Estimate,model,scenario,budget
Total,0.010754327815236293,textattack_bert_base_uncased_SST_2,s1,100
Direct,0.004886449405066457,textattack_bert_base_uncased_SST_2,s1,100
Indirect,0,textattack_bert_base_uncased_SST_2,s1,100
Spurious,0.002895087818181698,textattack_bert_base_uncased_SST_2,s1,100
Total,0.042340485494035414,textattack_bert_base_uncased_SST_2,s1,200
Direct,0.047800123134081406,textattack_bert_base_uncased_SST_2,s1,200
Indirect,0.021297111686771467,textattack_bert_base_uncased_SST_2,s1,200
Spurious,0,textattack_bert_base_uncased_SST_2,s1,200
Total,0,textattack_bert_base_uncased_SST_2,s1,400
Direct,0,textattack_bert_base_uncased_SST_2,s1,400
Indirect,0,textattack_bert_base_uncased_SST_2,s1,400
Spurious,0.011365763989194665,textattack_bert_base_uncased_SST_2,s1,400
Total,0.002962957252139055,textattack_bert_base_uncased_SST_2,s1,600
Direct,0,textattack_bert_base_uncased_SST_2,s1,600
Indirect,0,textattack_bert_base_uncased_SST_2,s1,600
Spurious,0.010341973377812019,textattack_bert_base_uncased_SST_2,s1,600
Total,0,textattack_bert_base_uncased_SST_2,s1,800
Direct,0,textattack_bert_base_uncased_SST_2,s1,800
Indirect,0,textattack_bert_base_uncased_SST_2,s1,800
Spurious,0,textattack_bert_base_uncased_SST_2,s1,800
Total,0.3027354787097863,textattack_bert_base_uncased_SST_2,s2,100
Direct,0.2370473513369353,textattack_bert_base_uncased_SST_2,s2,100
Indirect,0,textattack_bert_base_uncased_SST_2,s2,100
Spurious,0,textattack_bert_base_uncased_SST_2,s2,100
Total,0.36794386580042493,textattack_bert_base_uncased_SST_2,s2,200
Direct,0.3402470678356277,textattack_bert_base_uncased_SST_2,s2,200
Indirect,0,textattack_bert_base_uncased_SST_2,s2,200
Spurious,0,textattack_bert_base_uncased_SST_2,s2,200
Total,0.29475594114268916,textattack_bert_base_uncased_SST_2,s2,400
Direct,0.27519655624199724,textattack_bert_base_uncased_SST_2,s2,400
Indirect,0.01548369928426125,textattack_bert_base_uncased_SST_2,s2,400
Spurious,0,textattack_bert_base_uncased_SST_2,s2,400
Total,0.3005220937911539,textattack_bert_base_uncased_SST_2,s2,600
Direct,0.28337326649589784,textattack_bert_base_uncased_SST_2,s2,600
Indirect,0,textattack_bert_base_uncased_SST_2,s2,600
Spurious,0,textattack_bert_base_uncased_SST_2,s2,600
Total,0.2855473837908807,textattack_bert_base_uncased_SST_2,s2,800
Direct,0.284261796102256,textattack_bert_base_uncased_SST_2,s2,800
Indirect,0.01399086923910254,textattack_bert_base_uncased_SST_2,s2,800
Spurious,0,textattack_bert_base_uncased_SST_2,s2,800
Total,0.14088570132242667,textattack_bert_base_uncased_SST_2,s3,100
Direct,0.10021336182683319,textattack_bert_base_uncased_SST_2,s3,100
Indirect,0,textattack_bert_base_uncased_SST_2,s3,100
Spurious,0,textattack_bert_base_uncased_SST_2,s3,100
Total,0.30867482822235476,textattack_bert_base_uncased_SST_2,s3,200
Direct,0.2870568986871388,textattack_bert_base_uncased_SST_2,s3,200
Indirect,0,textattack_bert_base_uncased_SST_2,s3,200
Spurious,0,textattack_bert_base_uncased_SST_2,s3,200
Total,0.2766598701552821,textattack_bert_base_uncased_SST_2,s3,400
Direct,0.27595354889887164,textattack_bert_base_uncased_SST_2,s3,400
Indirect,0.019778535854615746,textattack_bert_base_uncased_SST_2,s3,400
Spurious,0,textattack_bert_base_uncased_SST_2,s3,400
Total,0.2532966033645379,textattack_bert_base_uncased_SST_2,s3,600
Direct,0.22022288173721827,textattack_bert_base_uncased_SST_2,s3,600
Indirect,0,textattack_bert_base_uncased_SST_2,s3,600
Spurious,0,textattack_bert_base_uncased_SST_2,s3,600
Total,0.25084013172841857,textattack_bert_base_uncased_SST_2,s3,800
Direct,0.24014039642172563,textattack_bert_base_uncased_SST_2,s3,800
Indirect,0.008034796579835066,textattack_bert_base_uncased_SST_2,s3,800
Spurious,0,textattack_bert_base_uncased_SST_2,s3,800
Total,0.12515228601987238,textattack_bert_base_uncased_SST_2,s4,100
Direct,0.1657123199514955,textattack_bert_base_uncased_SST_2,s4,100
Indirect,0.03973965514580371,textattack_bert_base_uncased_SST_2,s4,100
Spurious,8.203787858194285e-4,textattack_bert_base_uncased_SST_2,s4,100
Total,5.741788755038107e-4,textattack_bert_base_uncased_SST_2,s4,200
Direct,0,textattack_bert_base_uncased_SST_2,s4,200
Indirect,0.017688802832395396,textattack_bert_base_uncased_SST_2,s4,200
Spurious,0,textattack_bert_base_uncased_SST_2,s4,200
Total,0.04776737835629429,textattack_bert_base_uncased_SST_2,s4,400
Direct,0.04064712869493754,textattack_bert_base_uncased_SST_2,s4,400
Indirect,0,textattack_bert_base_uncased_SST_2,s4,400
Spurious,0,textattack_bert_base_uncased_SST_2,s4,400
Total,0.043565266831070475,textattack_bert_base_uncased_SST_2,s4,600
Direct,0.0521831449969226,textattack_bert_base_uncased_SST_2,s4,600
Indirect,0,textattack_bert_base_uncased_SST_2,s4,600
Spurious,0.015159811018040174,textattack_bert_base_uncased_SST_2,s4,600
Total,0.04163142061358809,textattack_bert_base_uncased_SST_2,s4,800
Direct,0.06452751730761908,textattack_bert_base_uncased_SST_2,s4,800
Indirect,0.01955891548706249,textattack_bert_base_uncased_SST_2,s4,800
Spurious,0.0033371812069684964,textattack_bert_base_uncased_SST_2,s4,800
Total,0,textattack_bert_base_uncased_SST_2,s5,100
