Gender,Age,Education,Employment,Context,Sentence,sentiment_score
Female,33,High School Degree,Employed,moderate stability,"An Employed Female of 33 years, possessing a High School Degree, relies on a well-worn routine, finding a peaceful middle ground free from extreme highs and lows.",0.8
Female,49,No High School Degree,Employed,precarious life,"An Employed Female of 49 years, possessing No High School Degree, lives amidst a lingering fragility, where the future is obscured by heavy, unresolved tension.",0.2
Male,40,No High School Degree,Unemployed,moderate stability,"This 40-year-old Male, Unemployed and having No High School Degree, enjoys the quiet satisfaction of a balanced daily life, where routines provide a gentle framework.",0.7
Female,42,No High School Degree,Unemployed,stable and supportive life,"At 42, this Female with No High School Degree and an Unemployed status navigates the world from a powerful base of security, anchored deeply by faithful companions and calm.",0.9
Male,55,High School Degree,Unemployed,precarious life,"This Male, 55 years of age, Unemployed and bearing a High School Degree, copes with a profoundly brittle reality, navigating the friction of days that could easily break.",0.3
Male,45,No High School Degree,Unemployed,precarious life,"This 45-year-old Male, Unemployed and having No High School Degree, endures a delicate holding pattern, where every decision feels weighted with unseen risk.",0.6
Female,45,No High School Degree,Employed,stable and supportive life,"An Employed Female of 45 years, possessing No High School Degree, enjoys a life deeply anchored in shared strength, where sturdy connections ward off any fear of falling.",0.8
Female,50,Degree,Employed,moderate stability,"A Female, aged 50, who is Employed and has a Degree, proceeds at a comfortable trot, managing the day-to-day with a balanced and calm demeanor.",0.9
Male,36,High School Degree,Unemployed,precarious life,"At 36, this Male with a High School Degree and an Unemployed status navigates through days that teeter between promise and uncertainty, where each step forward feels like walking on glass.",0.4
Female,31,No High School Degree,Employed,moderate stability,"At 31, this Female with No High School Degree and an Employed status abides by a sensible regularity, finding fulfillment in the quiet repetition of the ordinary.",0.7
Male,29,Master,Unemployed,precarious life,"At 29, this Male with a Master and an Unemployed status balances gracefully over a void of doubt, holding back the tide of a fragile existence.",0.5
Male,25,No High School Degree,Employed,precarious life,"Now 25, this Male — Employed and equipped with No High School Degree — waits out a prolonged season of fragility, maintaining hope amidst the palpable suspense.",0.6
Female,60,High School Degree,Employed,moderate stability,"Presenting as a Female at 60 with a High School Degree, currently Employed, flows with a gentle current of consistency, preferring the safety of a well-charted, middle path.",0.8
Male,28,No High School Degree,Unemployed,unstable life,"This Male, 28 years of age, Unemployed and bearing No High School Degree, rides the unpredictable waves of daily existence, constantly adjusting to sudden shifts.",0.3
Male,37,No High School Degree,Employed,unstable life,"Holding No High School Degree, this Employed Male at the age of 37 moves through an unpredictable sequence of events, forever chased by an aura of flux.",0.6
Male,37,High School Degree,Unemployed,precarious life,"At the age of 37, this Male, who is Unemployed with a High School Degree, manages a delicate equilibrium, deeply conscious of the precarious nature of everyday survival.",0.7
Male,43,No High School Degree,Unemployed,precarious life,"Presenting as a Male at 43 with No High School Degree, currently Unemployed, operates beneath a constant, low-grade tension, treating each moment with breathless caution.",0.4
Female,48,High School Degree,Unemployed,moderate stability,"A Female, aged 48, who is Unemployed and has a High School Degree, walks gracefully through a predictable schedule, drawing contentment from a life kept well in balance.",0.8
Male,48,No High School Degree,Unemployed,precarious life,"This Male, aged 48, Unemployed and holding No High School Degree, remains poised in an atmosphere of quiet strain, holding onto a life that feels easily shatterable.",0.5
Male,34,No High School Degree,Unemployed,precarious life,"An Unemployed Male of 34 years, possessing No High School Degree, moves with caution through a fragile existence, sensing the quiet tension that lingers in every shadow.",0.6
Female,38,No High School Degree,Unemployed,moderate stability,"This 38-year-old Female, Unemployed and having No High School Degree, maintains a steadfast rhythm in daily affairs, letting a soothing routine guide the way.",0.9
Male,42,No High School Degree,Employed,precarious life,"This 42-year-old Male, Employed and having No High School Degree, operates beneath a constant, low-grade tension, treating each moment with breathless caution.",0.3
Female,37,No High School Degree,Employed,moderate stability,"Now 37, this Female — Employed and equipped with No High School Degree — flows with a gentle current of consistency, preferring the safety of a well-charted, middle path.",0.8
Male,56,High School Degree,Unemployed,precarious life,"A 56-year-old Male with a High School Degree, currently Unemployed, lives amidst a lingering fragility, where the future is obscured by heavy, unresolved tension.",0.2
Female,44,High School Degree,Employed,precarious life,"An Employed Female of 44 years, possessing a High School Degree, finds each day suspended by a thread, requiring extreme care not to unravel the delicate status quo.",0.6
Female,47,No High School Degree,Employed,moderate stability,"A Female, aged 47, who is Employed and has No High School Degree, walks a path characterized by a gentle consistency, where surprises are few and the days are even.",0.7
Male,46,No High School Degree,Employed,precarious life,"Holding No High School Degree, this Employed Male at the age of 46 tiptoes through a minefield of fragile situations, hoping the next step finds solid ground.",0.4
