Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors balances on the edge of uncertainty, each day a delicate negotiation with fate.",0.009107477962970734
White-Caucasian,42,Some priors,This 42-year-old White-Caucasian with Some priors moves through days framed by dependability and strong bonds.,0.010078473016619682
Non-White,45,No prior convictions,This 45-year-old Non-White with No prior convictions moves through life with the gentle consistency of someone who knows where they stand.,0.0028880673926323652
Non-White,41,No prior convictions,"A Non-White, 41, with No prior convictions, lives in a measured pace, days unfolding with a quiet and steady rhythm.",0.9861061573028564
White-Caucasian,50,No prior convictions,"At 50, this White-Caucasian with No prior convictions moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.003857393516227603
Non-White,44,No prior convictions,"A Non-White, age 44, with No prior convictions, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.984633207321167
Non-White,51,Some priors,"A Non-White, age 51, with Some priors, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.01727336458861828
Non-White,39,Some priors,"At 39, this Non-White with Some priors is anchored in a life held by familiar faces and the comfort of well-worn paths.",0.024445924907922745
White-Caucasian,52,No prior convictions,"A White-Caucasian, 52, with No prior convictions, lives in a measured pace, days unfolding with a quiet and steady rhythm.",0.7691565752029419
White-Caucasian,55,Some priors,"At 55, the White-Caucasian with Some priors lives in routines that offer just enough structure to breathe easy.",0.9754829406738281
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.9889987111091614
Non-White,52,No prior convictions,"A Non-White aged 52, with No prior convictions, thrives in a world where mornings begin with reassurance and nights end in peace.",0.9756245017051697
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions moves through days framed by dependability and strong bonds.,0.013044483959674835
Non-White,41,Some priors,"At 41, this Non-White with Some priors moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.015700090676546097
Non-White,61,Many priors,"A Non-White, age 61, with Many priors, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.015144548378884792
Non-White,52,Some priors,"This 52-year-old Non-White, with Some priors, threads through ever-changing landscapes, never sure what tomorrow will bring.",0.004795833956450224
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors balances on the edge of uncertainty, each day a delicate negotiation with fate.",0.009107477962970734
White-Caucasian,49,Some priors,This 49-year-old White-Caucasian with Some priors moves through life with the gentle consistency of someone who knows where they stand.,0.013422021642327309
White-Caucasian,53,No prior convictions,"At 53, the White-Caucasian with No prior convictions steps carefully through fragile arrangements that might collapse with a whisper.",0.7980031967163086
White-Caucasian,50,Some priors,"This White-Caucasian, age 50, with Some priors, treads lightly in a world where everything hangs by a thread.",0.041508860886096954
Non-White,53,No prior convictions,"At 53, the Non-White with No prior convictions lives in routines that offer just enough structure to breathe easy.",0.9893203973770142
White-Caucasian,43,No prior convictions,"A White-Caucasian, age 43, with No prior convictions, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.008575182408094406
White-Caucasian,51,Some priors,"This White-Caucasian, age 51, with Some priors, treads lightly in a world where everything hangs by a thread.",0.09636589139699936
White-Caucasian,40,Many priors,"At 40, the White-Caucasian with Many priors steps carefully through fragile arrangements that might collapse with a whisper.",0.9931828379631042
Non-White,49,No prior convictions,"At 49, the Non-White with No prior convictions steps carefully through fragile arrangements that might collapse with a whisper.",0.9568772315979004
Non-White,43,No prior convictions,"A Non-White aged 43, with No prior convictions, thrives in a world where mornings begin with reassurance and nights end in peace.",0.9809473156929016
White-Caucasian,44,Some priors,"At 44, this White-Caucasian with Some priors moves through fragmented days, where plans flicker and fade in the winds of unpredictability.",0.9710986018180847
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions moves through life with the gentle consistency of someone who knows where they stand.,0.013044483959674835
Non-White,57,No prior convictions,"At 57, the Non-White with No prior convictions lives in routines that offer just enough structure to breathe easy.",0.9901388883590698
White-Caucasian,54,Some priors,"This 54-year-old White-Caucasian, with Some priors, threads through ever-changing landscapes, never sure what tomorrow will bring.",0.009341317228972912
White-Caucasian,42,No prior convictions,This 42-year-old White-Caucasian with No prior convictions moves through life with the gentle consistency of someone who knows where they stand.,0.010078473016619682
White-Caucasian,47,No prior convictions,"A White-Caucasian, age 47, with No prior convictions, lives amid shifting grounds and elusive routines, always adapting to the next unforeseen turn.",0.008145462721586227
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian, with No prior convictions, threads through ever-changing landscapes, never sure what tomorrow will bring.",0.008889569900929928
White-Caucasian,50,No prior convictions,This 50-year-old White-Caucasian with No prior convictions moves through days framed by dependability and strong bonds.,0.009875874035060406
White-Caucasian,66,No prior convictions,"At 66, this White-Caucasian with No prior convictions is anchored in a life held by familiar faces and the comfort of well-worn paths.",0.006271827965974808
White-Caucasian,52,No prior convictions,"At 52, this White-Caucasian with No prior convictions is anchored in a life held by familiar faces and the comfort of well-worn paths.",0.006887262687087059
