Gender,Age,Education,Employment,Sentence
Male,36,High School Degree,Employed,"A 36-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,48,No High School Degree,Employed,"A 48-year-old Female with No High School Degree, currently Employed, balanced on the edge of an unresolved situation."
Male,43,No High School Degree,Unemployed,"A 43-year-old Male with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,50,No High School Degree,Unemployed,"A 50-year-old Female with No High School Degree, currently Unemployed, settled into a steady, reliable routine."
Male,54,High School Degree,Unemployed,"A 54-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,43,No High School Degree,Unemployed,"A 43-year-old Male with No High School Degree, currently Unemployed, held in a tense, suspended state."
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine."
Female,54,Degree,Employed,"A 54-year-old Female with Degree, currently Employed, settled into a measured, predictable routine."
Male,34,High School Degree,Unemployed,"A 34-year-old Male with High School Degree, currently Unemployed, held in a tense, suspended state."
Female,34,No High School Degree,Employed,"A 34-year-old Female with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Male,27,Master,Unemployed,"A 27-year-old Male with Master, currently Unemployed, balanced on the edge of an unresolved situation."
Male,25,No High School Degree,Employed,"A 25-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state."
Female,61,High School Degree,Employed,"A 61-year-old Female with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,25,No High School Degree,Unemployed,"A 25-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
Male,29,No High School Degree,Employed,"A 29-year-old Male with No High School Degree, currently Employed, in the middle of relentless turmoil."
Female,34,High School Degree,Unemployed,"A 34-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,38,No High School Degree,Unemployed,"A 38-year-old Female with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,49,High School Degree,Unemployed,"A 49-year-old Female with High School Degree, currently Unemployed, moving through steady, unremarkable days."
Male,44,No High School Degree,Unemployed,"A 44-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,27,No High School Degree,Unemployed,"A 27-year-old Male with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,45,No High School Degree,Unemployed,"A 45-year-old Female with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Male,41,No High School Degree,Employed,"A 41-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Female,37,No High School Degree,Employed,"A 37-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine."
Female,48,High School Degree,Unemployed,"A 48-year-old Female with High School Degree, currently Unemployed, held in a tense, suspended state."
Female,42,High School Degree,Employed,"A 42-year-old Female with High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Female,47,No High School Degree,Employed,"A 47-year-old Female with No High School Degree, currently Employed, settled into a measured, predictable routine."
Female,40,No High School Degree,Employed,"A 40-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
Male,53,No High School Degree,Unemployed,"A 53-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Female,38,High School Degree,Unemployed,"A 38-year-old Female with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,25,No High School Degree,Employed,"A 25-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state."
Male,40,Master,Unemployed,"A 40-year-old Male with Master, currently Unemployed, navigating a fragile, uncertain stretch."
Female,42,High School Degree,Unemployed,"A 42-year-old Female with High School Degree, currently Unemployed, rooted in security and dependable bonds."
Female,34,No High School Degree,Unemployed,"A 34-year-old Female with No High School Degree, currently Unemployed, held in a tense, suspended state."
Female,40,No High School Degree,Unemployed,"A 40-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Female,56,No High School Degree,Unemployed,"A 56-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine."
Male,34,No High School Degree,Employed,"A 34-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state."
