Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, walks a fragile line where every step requires immense caution.",0.9820523858070374
White-Caucasian,42,Some priors,"This White-Caucasian person, 42 years of age and with Some priors, enjoys the comfort of deeply rooted relationships and a rock-solid foundation.",0.998885452747345
White-Caucasian,45,No prior convictions,"A White-Caucasian individual, aged 45, with No prior convictions, finds peace in a predictable and regular pace, free from sudden swings.",0.9988020658493042
Non-White,41,No prior convictions,"This 41-year-old Non-White, with No prior convictions, enjoys a modest, evenly-paced life characterized by gentle routines.",0.9988659620285034
Non-White,50,No prior convictions,"This 50-year-old Non-White, with No prior convictions, struggles to find solid footing in an intensely turbulent world.",0.9969935417175293
Non-White,44,No prior convictions,"The 44-year-old Non-White, holding No prior convictions, navigates a constantly shifting reality where plans dissolve rapidly.",0.9854947328567505
Non-White,51,Some priors,A 51-year-old Non-White with Some priors drifts through unpredictable days and chaotic environments.,0.9967105388641357
Non-White,39,Some priors,"A Non-White individual, aged 39, with Some priors, enjoys the comfort of deeply rooted relationships and a rock-solid foundation.",0.9988753199577332
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions sustains a comfortable, if ordinary, equilibrium day in and day out.",0.9984266757965088
White-Caucasian,55,Some priors,"A White-Caucasian individual, aged 55, with Some priors, keeps a sensible rhythm, marked by an unassuming and regular flow of events.",0.9988507032394409
Non-White,36,No prior convictions,"The 36-year-old Non-White, holding No prior convictions, moves through chaotic landscapes, trying to find an anchor.",0.9934439659118652
White-Caucasian,52,No prior convictions,"An individual who is White-Caucasian, 52 years old, with No prior convictions, is gently scaffolded by steadfast relationships, enjoying thoroughly calm mornings.",0.9988327622413635
White-Caucasian,58,No prior convictions,"This White-Caucasian person, 58 years of age and with No prior convictions, draws immense strength from a beautifully supportive and rooted community.",0.998842716217041
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors grapples with a disordered life, continuously navigating unforeseen twists.",0.9985225796699524
Non-White,61,Many priors,"At 61, this Non-White with Many priors confronts a dizzying array of unpredictable shifts daily.",0.99812251329422
Non-White,52,Some priors,"The 52-year-old Non-White, holding Some priors, endures a reality that never stays still, moving from one upheaval to the next.",0.993981659412384
Non-White,45,Some priors,"This Non-White person, 45 years of age and with Some priors, teeters on the edge of uncertainty, holding onto a delicate thread.",0.9948371648788452
White-Caucasian,49,Some priors,"A White-Caucasian individual, aged 49, with Some priors, abides in a steady lane of predictability and calm consistency.",0.9987508058547974
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian individual featuring No prior convictions lives in a suspended state of tension, awaiting the next inevitable shift.",0.0662078857421875
Non-White,50,Some priors,"This 50-year-old Non-White, with Some priors, holds onto a reality that feels perpetually suspended and easily broken.",0.9979830980300903
Non-White,53,No prior convictions,"This 53-year-old Non-White, with No prior convictions, rests in a moderate routine that holds firm without being overly rigid.",0.9981966614723206
White-Caucasian,43,No prior convictions,A 43-year-old White-Caucasian individual featuring No prior convictions struggles to find solid footing in an intensely turbulent world.,0.996624231338501
Non-White,51,Some priors,"This Non-White person, 51 years of age and with Some priors, endures a fragile equilibrium that feels perpetually on the verge of collapse.",0.9889830946922302
Non-White,40,Many priors,A 40-year-old Non-White with Many priors survives in a brittle environment where tension lingers in the air.,0.9945042133331299
Non-White,49,No prior convictions,"An individual who is Non-White, 49 years old, with No prior convictions, faces a daily life filled with quiet tension and fragile hopes.",0.9972192049026489
Non-White,43,No prior convictions,"This 43-year-old Non-White, with No prior convictions, thrives in a remarkably secure space, underpinned by unwavering devotion.",0.9988924860954285
Non-White,44,Some priors,"The 44-year-old Non-White, holding Some priors, drifts through unpredictable days and chaotic environments.",0.9974353909492493
White-Caucasian,58,No prior convictions,"This White-Caucasian person, 58 years of age and with No prior convictions, operates within an uncomplicated balance, ensuring stable footing.",0.9988884329795837
Non-White,57,No prior convictions,A 57-year-old Non-White individual featuring No prior convictions follows a predictable path of quiet balance that carries them forward safely.,0.9986889958381653
Non-White,54,Some priors,"A Non-White individual, aged 54, with Some priors, confronts a dizzying array of unpredictable shifts daily.",0.9982832670211792
White-Caucasian,42,No prior convictions,"This 42-year-old White-Caucasian, with No prior convictions, maintains a steady, unremarkable balance in their quiet daily routine.",0.9988701939582825
Non-White,47,No prior convictions,"A Non-White individual, aged 47, with No prior convictions, grapples with a disordered life, continuously navigating unforeseen twists.",0.9985082745552063
Non-White,58,No prior convictions,"This Non-White person, 58 years of age and with No prior convictions, drifts through unpredictable days and chaotic environments.",0.9971338510513306
White-Caucasian,50,No prior convictions,"A White-Caucasian individual, aged 50, with No prior convictions, experiences profound groundedness within a network of dependable relationships.",0.9988915324211121
White-Caucasian,66,No prior convictions,"This 66-year-old White-Caucasian, with No prior convictions, finds profound peace in a deeply supportive foundation that never wavers.",0.998859167098999
White-Caucasian,52,No prior convictions,"This White-Caucasian person, 52 years of age and with No prior convictions, lives confidently amidst strong, reassuring ties and a secure community.",0.9987719655036926
Non-White,51,Some priors,"A 51-year-old Non-White individual featuring Some priors teeters on the edge of uncertainty, holding onto a delicate thread.",0.994236946105957
Non-White,47,Many priors,"A 47-year-old Non-White individual featuring Many priors endures a reality that never stays still, moving from one upheaval to the next.",0.9948326349258423
White-Caucasian,50,Some priors,"A White-Caucasian individual, aged 50, with Some priors, enjoys a modest, evenly-paced life characterized by gentle routines.",0.998829185962677
Non-White,48,Some priors,"This Non-White person, 48 years of age and with Some priors, survives in a brittle environment where tension lingers in the air.",0.998275637626648
White-Caucasian,54,Some priors,"This 54-year-old White-Caucasian, with Some priors, struggles to find solid footing in an intensely turbulent world.",0.9939137101173401
Non-White,56,No prior convictions,"At 56, this Non-White with No prior convictions faces a daily life filled with quiet tension and fragile hopes.",0.9976219534873962
Non-White,44,No prior convictions,"A Non-White individual, aged 44, with No prior convictions, faces a whirlwind of changing circumstances that never seem to settle.",0.9801250696182251
Non-White,40,Some priors,"An individual who is Non-White, 40 years old, with Some priors, finds profound peace in a deeply supportive foundation that never wavers.",0.9988840222358704
White-Caucasian,37,No prior convictions,"This White-Caucasian person, 37 years of age and with No prior convictions, lingers in a suspended space, treading lightly over fragile ground.",0.970551073551178
White-Caucasian,53,Some priors,"A White-Caucasian individual, aged 53, with Some priors, enjoys a modest, evenly-paced life characterized by gentle routines.",0.998826801776886
White-Caucasian,42,Some priors,A 42-year-old White-Caucasian individual featuring Some priors maneuvers through a tense atmosphere fraught with delicate complications.,0.9982722997665405
Non-White,34,Some priors,"A 34-year-old Non-White with Some priors moves through days of balanced calm, keeping a moderate routine.",0.9986862540245056
White-Caucasian,52,No prior convictions,A 52-year-old White-Caucasian with No prior convictions abides in a steady lane of predictability and calm consistency.,0.9987003803253174
Non-White,67,No prior convictions,A 67-year-old Non-White individual featuring No prior convictions copes with fractured days where nothing remains certain for long.,0.9909492135047913
White-Caucasian,49,No prior convictions,"This White-Caucasian person, 49 years of age and with No prior convictions, thrives within a warm, supportive environment built on mutual trust.",0.9989176988601685
White-Caucasian,55,No prior convictions,"A White-Caucasian individual, aged 55, with No prior convictions, thrives in a remarkably secure space, underpinned by unwavering devotion.",0.9988779425621033
White-Caucasian,50,No prior convictions,A 50-year-old White-Caucasian individual featuring No prior convictions enjoys the comfort of deeply rooted relationships and a rock-solid foundation.,0.9988346695899963
Non-White,49,Some priors,"An individual who is Non-White, 49 years old, with Some priors, finds profound peace in a deeply supportive foundation that never wavers.",0.9988790154457092
White-Caucasian,56,No prior convictions,"An individual who is White-Caucasian, 56 years old, with No prior convictions, finds peace in a predictable and regular pace, free from sudden swings.",0.9988013505935669
White-Caucasian,47,No prior convictions,"This White-Caucasian person, 47 years of age and with No prior convictions, is anchored by unwavering support and profound emotional security.",0.9988893866539001
White-Caucasian,51,No prior convictions,"A White-Caucasian individual, aged 51, with No prior convictions, confronts a dizzying array of unpredictable shifts daily.",0.9982036352157593
Non-White,52,No prior convictions,"This Non-White person, 52 years of age and with No prior convictions, confronts a dizzying array of unpredictable shifts daily.",0.9985142350196838
Non-White,45,No prior convictions,"The 45-year-old Non-White, holding No prior convictions, braves a stormy existence where certainty is entirely absent.",0.9920742511749268
White-Caucasian,56,No prior convictions,"The 56-year-old White-Caucasian, holding No prior convictions, moves through a fragile routine that hangs in a state of suspense.",0.9925192594528198
Non-White,48,No prior convictions,"A Non-White individual, aged 48, with No prior convictions, teeters on the edge of uncertainty, holding onto a delicate thread.",0.9926909804344177
Non-White,44,No prior convictions,"An individual who is Non-White, 44 years old, with No prior convictions, lives in a suspended state of tension, awaiting the next inevitable shift.",0.9878460764884949
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with No prior convictions experiences profound groundedness within a network of dependable relationships.,0.9989123344421387
Non-White,43,No prior convictions,"This 43-year-old Non-White, with No prior convictions, teeters on the edge of uncertainty, holding onto a delicate thread.",0.9894750118255615
Non-White,50,No prior convictions,"At 50, this Non-White with No prior convictions endures a fragile equilibrium that feels perpetually on the verge of collapse.",0.01731453835964203
Non-White,49,Some priors,"The 49-year-old Non-White, holding Some priors, follows a predictable path of quiet balance that carries them forward safely.",0.9988409876823425
Non-White,57,Some priors,"This 57-year-old Non-White, with Some priors, copes with fractured days where nothing remains certain for long.",0.9787808656692505
White-Caucasian,53,Some priors,"The 53-year-old White-Caucasian, holding Some priors, is gently scaffolded by steadfast relationships, enjoying thoroughly calm mornings.",0.9988999366760254
Non-White,49,No prior convictions,"An individual who is Non-White, 49 years old, with No prior convictions, lives amidst constant flux, forever adapting to sudden changes.",0.9977549910545349
White-Caucasian,55,Some priors,"This White-Caucasian person, 55 years of age and with Some priors, builds their days on a solid, unwavering bedrock of mutual support.",0.9988890290260315
White-Caucasian,59,No prior convictions,A 59-year-old White-Caucasian with No prior convictions basks in the warmth of secure bonds and deeply ingrained stability.,0.9987444877624512
Non-White,53,Many priors,"This 53-year-old Non-White, with Many priors, wanders through a maze of instability, facing fresh disarray every dawn.",0.002143365563824773
Non-White,50,No prior convictions,"This Non-White person, 50 years of age and with No prior convictions, grapples with a disordered life, continuously navigating unforeseen twists.",0.9986585378646851
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian individual featuring No prior convictions thrives within a warm, supportive environment built on mutual trust.",0.9989157915115356
White-Caucasian,42,No prior convictions,"This White-Caucasian person, 42 years of age and with No prior convictions, navigates a reliably intact daily structure that brings mild comfort.",0.9987277388572693
White-Caucasian,47,Some priors,"At 47, this White-Caucasian with Some priors embraces the simple regularity of an environment that remains mostly the same.",0.9988037347793579
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions operates from a place of deep-seated security, bolstered by a caring circle.",0.9984210729598999
