Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,44,Some priors,"This 44-year-old Non-White, with Some priors, inhabits a reality stretched thin, as if held together by a thread.",0.333
White-Caucasian,47,Many priors,"This White-Caucasian, 47, with Many priors, moves through days anchored by warmth and enduring connection.",0.8
White-Caucasian,47,Some priors,"This 47-year-old White-Caucasian, with Some priors, follows a pattern of even steps and modest routines.",0.375
Non-White,42,Many priors,"42 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.6
Non-White,46,Some priors,"This 46-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.2
Non-White,41,Many priors,A 41-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.2
Non-White,47,Some priors,"This 47-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.2
Non-White,42,Many priors,"A Non-White aged 42 with Many priors, settled into a life cushioned by consistency and quiet care.",0.333
White-Caucasian,53,Many priors,"53 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.375
White-Caucasian,57,Many priors,"This 57-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.3333
Non-White,31,No prior convictions,A 31-year-old Non-White with No prior convictions threads their way through a world of shifting streets and unanchored moments.,0.333
White-Caucasian,57,Many priors,"A White-Caucasian aged 57 with Many priors, settled into a life cushioned by consistency and quiet care.",0.375
White-Caucasian,61,Many priors,"A White-Caucasian aged 61 with Many priors, settled into a life cushioned by consistency and quiet care.",0.375
Non-White,38,Many priors,"This 38-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.2
Non-White,58,Many priors,"This 58-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.2
Non-White,49,Some priors,"This 49-year-old Non-White, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.2
Non-White,43,Many priors,"A 43-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.2
White-Caucasian,49,Many priors,"49 years old, White-Caucasian, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.375
White-Caucasian,53,Many priors,"This 53-year-old White-Caucasian, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.333
Non-White,48,Many priors,"This 48-year-old Non-White, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.2
Non-White,54,Many priors,"A Non-White aged 54 with Many priors, moving through the days with measured rhythm and quiet balance.",0.8
White-Caucasian,39,Some priors,"This 39-year-old White-Caucasian, marked by Some priors, lives in a current of unpredictability, swept along by constant change.",0.2
Non-White,49,Some priors,"Non-White, 49, carrying Some priors, exists in a world where every step might give way beneath them.",0.375
Non-White,38,Many priors,"Non-White, 38, carrying Many priors, exists in a world where every step might give way beneath them.",0.375
Non-White,48,Many priors,"This 48-year-old Non-White, with Many priors, inhabits a reality stretched thin, as if held together by a thread.",0.2
Non-White,46,Some priors,"This Non-White, 46, with Some priors, moves through days anchored by warmth and enduring connection.",0.8
Non-White,41,Many priors,A 41-year-old Non-White with Many priors threads their way through a world of shifting streets and unanchored moments.,0.2
White-Caucasian,58,Some priors,"This 58-year-old White-Caucasian, with Some priors, follows a pattern of even steps and modest routines.",0.375
Non-White,58,Many priors,"58 years old, Non-White, carrying Many priors, surrounded by a life neither loud nor silent, but steady.",0.333
Non-White,49,Many priors,"49 years old, Non-White, with Many priors, dwelling in a whirlwind where each day begins without a map.",0.333
White-Caucasian,43,No prior convictions,"This 43-year-old White-Caucasian, with No prior convictions, follows a pattern of even steps and modest routines.",0.625
Non-White,44,Many priors,"This 44-year-old Non-White, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.2
Non-White,54,Some priors,A 54-year-old Non-White with Some priors threads their way through a world of shifting streets and unanchored moments.,0.333
White-Caucasian,55,Many priors,"This White-Caucasian, 55, with Many priors, moves through days anchored by warmth and enduring connection.",0.8
White-Caucasian,70,No prior convictions,"A White-Caucasian aged 70 with No prior convictions, settled into a life cushioned by consistency and quiet care.",0.8
White-Caucasian,55,Many priors,55-year-old White-Caucasian with Many priors lives within the embrace of steady mornings and reliable bonds.,0.333
Non-White,49,Many priors,"A 49-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.2
Non-White,43,No prior convictions,"43 years old, Non-White, with No prior convictions, dwelling in a whirlwind where each day begins without a map.",0.375
White-Caucasian,52,Many priors,"This 52-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.375
Non-White,48,Many priors,"Non-White, 48, carrying Many priors, exists in a world where every step might give way beneath them.",0.375
White-Caucasian,51,Many priors,"This 51-year-old White-Caucasian, marked by Many priors, lives in a current of unpredictability, swept along by constant change.",0.2
Non-White,56,Many priors,"A 56-year-old Non-White with Many priors, balancing on the edge of things not quite lost, not quite found.",0.2
Non-White,39,Some priors,"39 years old, Non-White, with Some priors, dwelling in a whirlwind where each day begins without a map.",0.333
Non-White,44,Many priors,"This Non-White, 44, with Many priors, moves through days anchored by warmth and enduring connection.",0.8
White-Caucasian,34,Many priors,"White-Caucasian, 34, carrying Many priors, exists in a world where every step might give way beneath them.",0.375
White-Caucasian,55,Many priors,"This 55-year-old White-Caucasian, with Many priors, follows a pattern of even steps and modest routines.",0.3333
White-Caucasian,40,Some priors,"This 40-year-old White-Caucasian, with Some priors, inhabits a reality stretched thin, as if held together by a thread.",0.333
Non-White,35,No prior convictions,"This 35-year-old Non-White, with No prior convictions, follows a pattern of even steps and modest routines.",0.3333
