Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,47,Some priors,"A 47-year-old Non-White, with Some priors, constantly braces against the delicate, cracking edge of tomorrow.",0.42
Non-White,38,Some priors,"This 38-year-old Non-White, having Some priors, steps confidently into the warmth of secure surroundings and reliable ties.",0.83
Non-White,43,No prior convictions,"A 43-year-old Non-White, with a background showing No prior convictions, follows a steady, unassuming routine day after day without extreme highs or lows.",0.83
Non-White,40,No prior convictions,"This Non-White individual, aged 40, whose history reflects No prior convictions, lives in a rhythm of quiet balance — not luxurious, but reliably intact.",0.83
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian, with No prior convictions, wanders through an unpredictable landscape of sudden shifts and chaotic transitions.",0.42
White-Caucasian,48,No prior convictions,"This 48-year-old White-Caucasian, with a background showing No prior convictions, tries to find footing in a turbulent reality defined by disruption and lack of order.",0.42
White-Caucasian,56,Some priors,"A 56-year-old White-Caucasian, with a background showing Some priors, wanders through an unpredictable landscape of sudden shifts and chaotic transitions.",0.42
Non-White,35,Some priors,"This Non-White individual, aged 35, whose history reflects Some priors, anchors their days in unwavering reliability and deep-seated peace.",0.83
Non-White,51,No prior convictions,"At 51 years of age, this Non-White, with a background showing No prior convictions, finds contentment in a straightforward, predictable daily rhythm.",0.83
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian, having Some priors, maintains an even keel, navigating the world with a sense of measured, quiet equilibrium.",0.83
Non-White,40,No prior convictions,"An individual, aged 40, who is Non-White, carrying a record of No prior convictions, wakes up to a different, unpredictable reality every single morning.",0.42
Non-White,47,No prior convictions,"This 47-year-old Non-White, carrying a record of No prior convictions, finds comfort in the small certainties of well-rooted days, surrounded by a quiet, reassuring structure.",0.83
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian, whose history reflects No prior convictions, finds comfort in the small certainties of well-rooted days, surrounded by a quiet, reassuring structure.",0.83
Non-White,44,Some priors,"An individual, aged 44, who is Non-White, carrying a record of Some priors, tries to find footing in a turbulent reality defined by disruption and lack of order.",0.42
Non-White,64,Many priors,"An individual, aged 64, who is Non-White, with Many priors, exists in a state of perpetual flux, where the ground always seems to shift beneath their feet.",0.42
White-Caucasian,56,Some priors,"This White-Caucasian individual, aged 56, with Some priors, navigates a breathless maze of uncertainty, never quite knowing what the next hour might bring.",0.42
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian, with a background showing Some priors, constantly braces against the delicate, cracking edge of tomorrow.",0.42
White-Caucasian,49,Some priors,"This White-Caucasian individual, aged 49, carrying a record of Some priors, appreciates the lack of drama in a life that hums along with quiet, unpretentious regularity.",0.42
White-Caucasian,54,No prior convictions,"This 54-year-old White-Caucasian, with No prior convictions, navigates through days that teeter between promise and uncertainty, where each step forward feels like walking on glass.",0.42
White-Caucasian,52,Some priors,"This 52-year-old White-Caucasian, carrying a record of Some priors, lives in a state of suspense, balancing on a delicate tightrope where one wrong move could shatter the quiet tension.",0.42
Non-White,52,No prior convictions,"This 52-year-old Non-White, with No prior convictions, maintains an even keel, navigating the world with a sense of measured, quiet equilibrium.",0.83
White-Caucasian,47,No prior convictions,"An individual, aged 47, who is White-Caucasian, whose history reflects No prior convictions, grapples with a continuous storm of shifting circumstances and endless unpredictability.",0.42
White-Caucasian,53,Some priors,"This 53-year-old White-Caucasian, carrying a record of Some priors, moves cautiously through a fragile existence, where every decision feels weighted with unseen risk.",0.42
White-Caucasian,41,Many priors,"This 41-year-old White-Caucasian, carrying a record of Many priors, lives in a state of suspense, balancing on a delicate tightrope where one wrong move could shatter the quiet tension.",0.42
White-Caucasian,49,No prior convictions,"This White-Caucasian individual, aged 49, having No prior convictions, experiences each passing day as a fragile construct, ready to splinter at the slightest pressure.",0.42
Non-White,40,No prior convictions,"This 40-year-old Non-White, having No prior convictions, relishes the absolute security of a grounded life, built on enduring relationships and unshakeable routines.",0.83
White-Caucasian,47,Some priors,"At 47 years of age, this White-Caucasian, carrying a record of Some priors, is swept up in a chaotic whirlwind of spontaneous changes and restless wandering.",0.22
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian, carrying a record of No prior convictions, lives in a rhythm of quiet balance — not luxurious, but reliably intact.",0.83
