Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,45,Some priors,"A Non-White, 45, with Some priors, drifts through a life that feels perpetually on edge.",0.025054704397916794,0.47009986639022827,0.5048454403877258
White-Caucasian,42,Some priors,"This 42-year-old White-Caucasian, with Some priors, moves through a supportive landscape, shaped by quiet moments and passing time.",0.34290799498558044,0.6496149301528931,0.007477065082639456
Non-White,45,No prior convictions,"This 45-year-old Non-White, with No prior convictions, moves through a steady landscape, shaped by quiet moments and passing time.",0.04139086604118347,0.8813568353652954,0.07725227624177933
Non-White,41,No prior convictions,"At 41, the Non-White with No prior convictions stands in a space suspended in routine quiet.",0.02773275598883629,0.7702038288116455,0.2020634263753891
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian, with No prior convictions, moves through a ever-changing landscape, shaped by quiet moments and passing time.",0.05724895000457764,0.9013933539390564,0.041357677429914474
Non-White,44,No prior convictions,"Non-White, aged 44, with No prior convictions, inhabits a world subtly colored by in flux days.",0.018429074436426163,0.5464790463447571,0.43509188294410706
Non-White,51,Some priors,"Non-White, aged 51, with Some priors, inhabits a world subtly colored by chaotic days.",0.015959251672029495,0.5816481113433838,0.40239259600639343
Non-White,39,Some priors,"A Non-White, 39, with Some priors, drifts through a life that feels perpetually grounded.",0.14464014768600464,0.8110414147377014,0.044318389147520065
White-Caucasian,52,No prior convictions,"This 52-year-old White-Caucasian, with No prior convictions, moves through a balanced landscape, shaped by quiet moments and passing time.",0.0927942618727684,0.8864359259605408,0.020769868046045303
White-Caucasian,55,Some priors,"This 55-year-old White-Caucasian, with Some priors, moves through a balanced landscape, shaped by quiet moments and passing time.",0.12644946575164795,0.8609188199043274,0.012631717137992382
Non-White,36,No prior convictions,"At 36, the Non-White with No prior convictions stands in a space suspended in chaotic quiet.",0.023421350866556168,0.6716818809509277,0.304896742105484
Non-White,52,No prior convictions,"In structured cycles of existence, a Non-White, aged 52, carries No prior convictions like a whispered thread.",0.041329752653837204,0.7858724594116211,0.1727977842092514
White-Caucasian,58,No prior convictions,"In comforting cycles of existence, a White-Caucasian, aged 58, carries No prior convictions like a whispered thread.",0.061344847083091736,0.8376985788345337,0.10095658898353577
Non-White,41,Some priors,"At 41, the Non-White with Some priors stands in a space suspended in in flux quiet.",0.033638402819633484,0.8782163858413696,0.08814522624015808
Non-White,61,Many priors,"This Non-White, aged 61, with Many priors, resides in a realm where each day unfolds in a ever-changing pattern.",0.061528049409389496,0.8910679221153259,0.04740405082702637
Non-White,52,Some priors,"At 52, the Non-White with Some priors stands in a space suspended in chaotic quiet.",0.027486657723784447,0.8369477987289429,0.13556551933288574
Non-White,45,Some priors,"A life marked by fragile hues surrounds this Non-White, aged 45, who has Some priors.",0.011151757091283798,0.2830947935581207,0.7057534456253052
White-Caucasian,49,Some priors,A 49-year-old White-Caucasian with Some priors walks a path shaped by balanced rhythms and unseen turns.,0.07293401658535004,0.9118950366973877,0.015170923434197903
White-Caucasian,53,Some priors,"A life marked by tenuous hues surrounds this White-Caucasian, aged 53, who has Some priors.",0.02391464076936245,0.6838890910148621,0.2921963334083557
White-Caucasian,50,Some priors,"At 50, the White-Caucasian with Some priors stands in a space suspended in fragile quiet.",0.034098923206329346,0.7909281849861145,0.17497292160987854
Non-White,53,No prior convictions,"53 years old, Non-White, bearing No prior convictions, living amid days that echo with routine tones.",0.05565206706523895,0.7442183494567871,0.20012961328029633
White-Caucasian,43,Many priors,"With Many priors, this 43-year-old White-Caucasian navigates a world softly layered in fragmented textures.",0.07909419387578964,0.8551045656204224,0.06580132246017456
White-Caucasian,51,Many priors,"A life marked by fragile hues surrounds this White-Caucasian, aged 51, who has Many priors.",0.017090260982513428,0.4233105480670929,0.5595991015434265
White-Caucasian,40,No prior convictions,A 40-year-old White-Caucasian with No prior convictions walks a path shaped by delicate rhythms and unseen turns.,0.026355214416980743,0.6737534403800964,0.29989132285118103
Non-White,49,Some priors,"This 49-year-old Non-White, with Some priors, moves through a unsteady landscape, shaped by quiet moments and passing time.",0.04695088043808937,0.9084591269493103,0.04458995908498764
Non-White,43,No prior convictions,"At 43, the Non-White with No prior convictions stands in a space suspended in secure quiet.",0.03153945133090019,0.7935909032821655,0.1748696118593216
White-Caucasian,44,No prior convictions,"A White-Caucasian, 44, with No prior convictions, drifts through a life that feels perpetually chaotic.",0.012405638583004475,0.301818311214447,0.6857761144638062
White-Caucasian,58,Many priors,"At 58, the White-Caucasian with Many priors stands in a space suspended in measured quiet.",0.04201254993677139,0.9276822209358215,0.030305299907922745
Non-White,57,No prior convictions,"A life marked by steady hues surrounds this Non-White, aged 57, who has No prior convictions.",0.013794122263789177,0.3209499716758728,0.6652559041976929
White-Caucasian,54,No prior convictions,"This 54-year-old White-Caucasian, with No prior convictions, moves through a chaotic landscape, shaped by quiet moments and passing time.",0.0172714963555336,0.6882674694061279,0.2944610118865967
White-Caucasian,42,Some priors,"42 years old, White-Caucasian, bearing Some priors, living amid days that echo with routine tones.",0.057391129434108734,0.8755276203155518,0.0670812726020813
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions walks a path shaped by unpredictable rhythms and unseen turns.,0.014097986742854118,0.48338356614112854,0.5025184154510498
White-Caucasian,58,Some priors,"White-Caucasian, aged 58, with Some priors, inhabits a world subtly colored by fragmented days.",0.0349772684276104,0.888922393321991,0.07610029727220535
White-Caucasian,50,Many priors,"This 50-year-old White-Caucasian, with Many priors, moves through a secure landscape, shaped by quiet moments and passing time.",0.10499625653028488,0.8813523054122925,0.013651412911713123
White-Caucasian,66,Some priors,"This White-Caucasian, aged 66, with Some priors, resides in a realm where each day unfolds in a grounded pattern.",0.044040363281965256,0.9272032380104065,0.02875634841620922
White-Caucasian,52,Some priors,"A life marked by comforting hues surrounds this White-Caucasian, aged 52, who has Some priors.",0.40678703784942627,0.58473140001297,0.008481535129249096
Non-White,51,Some priors,"At 51, the Non-White with Some priors stands in a space suspended in delicate quiet.",0.06417589634656906,0.9098889231681824,0.02593519538640976
White-Caucasian,47,No prior convictions,"47 years old, White-Caucasian, bearing No prior convictions, living amid days that echo with fragmented tones.",0.051363859325647354,0.7736909985542297,0.17494511604309082
Non-White,50,No prior convictions,"At 50, the Non-White with No prior convictions stands in a space suspended in measured quiet.",0.026986822485923767,0.7472350001335144,0.22577813267707825
Non-White,48,Some priors,"With Some priors, this 48-year-old Non-White navigates a world softly layered in on edge textures.",0.08938666433095932,0.8766993880271912,0.03391392156481743
White-Caucasian,54,No prior convictions,"This 54-year-old White-Caucasian, with No prior convictions, moves through a fragmented landscape, shaped by quiet moments and passing time.",0.027698321267962456,0.8333616256713867,0.13894003629684448
Non-White,56,Some priors,"A Non-White, 56, with Some priors, drifts through a life that feels perpetually fragile.",0.017195548862218857,0.37300214171409607,0.6098023056983948
White-Caucasian,44,Some priors,"In chaotic cycles of existence, a White-Caucasian, aged 44, carries Some priors like a whispered thread.",0.02511187270283699,0.7159309983253479,0.2589571475982666
Non-White,40,Some priors,"40 years old, Non-White, bearing Some priors, living amid days that echo with comforting tones.",0.5903531908988953,0.39917489886283875,0.010471911169588566
White-Caucasian,37,No prior convictions,A 37-year-old White-Caucasian with No prior convictions walks a path shaped by on edge rhythms and unseen turns.,0.0161447636783123,0.542399525642395,0.4414557218551636
White-Caucasian,53,No prior convictions,"A White-Caucasian, 53, with No prior convictions, drifts through a life that feels perpetually calm.",0.12064079940319061,0.7708238959312439,0.10853525996208191
White-Caucasian,42,No prior convictions,"A life marked by fragile hues surrounds this White-Caucasian, aged 42, who has No prior convictions.",0.008930294774472713,0.21444380283355713,0.7766258716583252
Non-White,34,No prior convictions,"In routine cycles of existence, a Non-White, aged 34, carries No prior convictions like a whispered thread.",0.038154926151037216,0.7875400185585022,0.1743050068616867
Non-White,52,No prior convictions,"Non-White, aged 52, with No prior convictions, inhabits a world subtly colored by measured days.",0.02348526008427143,0.6277555227279663,0.3487592339515686
Non-White,67,Some priors,"At 67, the Non-White with Some priors stands in a space suspended in in flux quiet.",0.026630960404872894,0.871453583240509,0.10191545635461807
White-Caucasian,49,Some priors,"With Some priors, this 49-year-old White-Caucasian navigates a world softly layered in supportive textures.",0.4352321922779083,0.5536084771156311,0.011159345507621765
