model,budget,Effect,Estimate,model_short
allam_2_7b,100,Direct,0.04723070303533109,allam
allam_2_7b,100,Indirect,0.00397195988149336,allam
allam_2_7b,100,Spurious,0.00766310773809348,allam
allam_2_7b,100,Total,0.04609395699305363,allam
allam_2_7b,200,Direct,0.03789859205480606,allam
allam_2_7b,200,Indirect,0.00831005785804585,allam
allam_2_7b,200,Spurious,0.00711411882621568,allam
allam_2_7b,200,Total,0.03838441877521086,allam
allam_2_7b,400,Direct,0.03324491365583183,allam
allam_2_7b,400,Indirect,0.00387113821473122,allam
allam_2_7b,400,Spurious,0.00300299049557675,allam
allam_2_7b,400,Total,0.03360298573608456,allam
allam_2_7b,600,Direct,0.03083196507529808,allam
allam_2_7b,600,Indirect,0.0028366559558334,allam
allam_2_7b,600,Spurious,0.00346697522702642,allam
allam_2_7b,600,Total,0.03161053894425988,allam
allam_2_7b,800,Direct,0.03125273525717419,allam
allam_2_7b,800,Indirect,0.0035919944651583,allam
allam_2_7b,800,Spurious,0.00289851513137544,allam
allam_2_7b,800,Total,0.03097802215900679,allam
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Direct,0.04809281616449989,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Indirect,0.01417970150713487,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Spurious,0.01495495589832659,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,100,Total,0.04752483535498119,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Direct,0.03655938862536124,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Indirect,0.00164019758062392,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Spurious,0.00347476946659325,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,200,Total,0.03969806213356215,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Direct,0.03123417221732097,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Indirect,0.00229794014943413,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Spurious,0.00180281626438213,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,400,Total,0.03648078988653579,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Direct,0.03401047497451064,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Indirect,0.00209713581661624,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Spurious,0.0036766128437458,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,600,Total,0.03639796643011059,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Direct,0.03193190731434014,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Indirect,0.00183484955717889,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Spurious,0.00375927971119892,rob_twit
cardiffnlp_twitter_roberta_base_sentiment_latest,800,Total,0.03520406118574432,rob_twit
distilbert_base_uncased_finetuned_sst2_english,100,Direct,0.05968526334528596,distill
distilbert_base_uncased_finetuned_sst2_english,100,Indirect,0.01268981641271523,distill
distilbert_base_uncased_finetuned_sst2_english,100,Spurious,0.00655312064949927,distill
distilbert_base_uncased_finetuned_sst2_english,100,Total,0.07696264464990882,distill
distilbert_base_uncased_finetuned_sst2_english,200,Direct,0.07618784785366871,distill
distilbert_base_uncased_finetuned_sst2_english,200,Indirect,0.01502579959457576,distill
distilbert_base_uncased_finetuned_sst2_english,200,Spurious,0.00598130485335926,distill
distilbert_base_uncased_finetuned_sst2_english,200,Total,0.06419035163793638,distill
distilbert_base_uncased_finetuned_sst2_english,400,Direct,0.06504479891334408,distill
distilbert_base_uncased_finetuned_sst2_english,400,Indirect,0.01041245366811135,distill
distilbert_base_uncased_finetuned_sst2_english,400,Spurious,0.00790940223865235,distill
distilbert_base_uncased_finetuned_sst2_english,400,Total,0.06009066503198465,distill
distilbert_base_uncased_finetuned_sst2_english,600,Direct,0.05977522530176045,distill
distilbert_base_uncased_finetuned_sst2_english,600,Indirect,0.0035642951931364,distill
distilbert_base_uncased_finetuned_sst2_english,600,Spurious,0.00854755423115054,distill
distilbert_base_uncased_finetuned_sst2_english,600,Total,0.05999432114149842,distill
distilbert_base_uncased_finetuned_sst2_english,800,Direct,0.05969993505762221,distill
distilbert_base_uncased_finetuned_sst2_english,800,Indirect,0.00239926217916834,distill
distilbert_base_uncased_finetuned_sst2_english,800,Spurious,0.00852115356771395,distill
distilbert_base_uncased_finetuned_sst2_english,800,Total,0.05936622840816647,distill
gemma2_9b_it,100,Direct,0.07525663229779164,gemma
gemma2_9b_it,100,Indirect,0.00712125871533697,gemma
gemma2_9b_it,100,Spurious,0.01106556431044025,gemma
gemma2_9b_it,100,Total,0.07219163070822734,gemma
gemma2_9b_it,200,Direct,0.0905681271345026,gemma
gemma2_9b_it,200,Indirect,0.00666164278150003,gemma
gemma2_9b_it,200,Spurious,0.00557951713902594,gemma
gemma2_9b_it,200,Total,0.08663346834683468,gemma
gemma2_9b_it,400,Direct,0.08172481223288393,gemma
gemma2_9b_it,400,Indirect,0.00711018897840997,gemma
gemma2_9b_it,400,Spurious,0.00363234586789415,gemma
gemma2_9b_it,400,Total,0.08483494255573214,gemma
gemma2_9b_it,600,Direct,0.09011144424862792,gemma
gemma2_9b_it,600,Indirect,0.00605300417076365,gemma
gemma2_9b_it,600,Spurious,0.00458810013829639,gemma
gemma2_9b_it,600,Total,0.09084440697373668,gemma
gemma2_9b_it,800,Direct,0.08795997535312343,gemma
gemma2_9b_it,800,Indirect,0.00645268033791088,gemma
gemma2_9b_it,800,Spurious,0.00286128227049441,gemma
gemma2_9b_it,800,Total,0.08758069679943914,gemma
gpt_3_5_turbo,100,Direct,0.02709584590211274,gpt
gpt_3_5_turbo,100,Indirect,0.00438579573558369,gpt
gpt_3_5_turbo,100,Spurious,0.00432651853240086,gpt
gpt_3_5_turbo,100,Total,0.02589561965811965,gpt
gpt_3_5_turbo,200,Direct,0.02514346300281001,gpt
gpt_3_5_turbo,200,Indirect,0.00369151992180144,gpt
gpt_3_5_turbo,200,Spurious,0.01040120400393727,gpt
gpt_3_5_turbo,200,Total,0.02525860919425275,gpt
gpt_3_5_turbo,400,Direct,0.02396342223617801,gpt
gpt_3_5_turbo,400,Indirect,0.00709990597551753,gpt
gpt_3_5_turbo,400,Spurious,0.00304517398582133,gpt
gpt_3_5_turbo,400,Total,0.023628590467862,gpt
gpt_3_5_turbo,600,Direct,0.02044568436120588,gpt
gpt_3_5_turbo,600,Indirect,0.00482878958934988,gpt
gpt_3_5_turbo,600,Spurious,0.00168949723558294,gpt
gpt_3_5_turbo,600,Total,0.02195250317596121,gpt
gpt_3_5_turbo,800,Direct,0.02225273490081178,gpt
gpt_3_5_turbo,800,Indirect,0.00318294507391506,gpt
gpt_3_5_turbo,800,Spurious,0.00433794410154271,gpt
gpt_3_5_turbo,800,Total,0.02379330495815598,gpt
llama3_70b,100,Direct,0.06561161768375443,llama_small
llama3_70b,100,Indirect,0.00422529378357957,llama_small
llama3_70b,100,Spurious,0.00901620328549375,llama_small
llama3_70b,100,Total,0.06256338522588521,llama_small
llama3_70b,200,Direct,0.04799787071440902,llama_small
llama3_70b,200,Indirect,0.00740920648381672,llama_small
llama3_70b,200,Spurious,0.00511868262324295,llama_small
llama3_70b,200,Total,0.04704483365003167,llama_small
llama3_70b,400,Direct,0.05520516477871543,llama_small
llama3_70b,400,Indirect,0.00689295395111578,llama_small
llama3_70b,400,Spurious,0.00290565303798872,llama_small
llama3_70b,400,Total,0.05636270203747294,llama_small
llama3_70b,600,Direct,0.04448007249101329,llama_small
llama3_70b,600,Indirect,0.00229964791162541,llama_small
llama3_70b,600,Spurious,0.00393920607893322,llama_small
llama3_70b,600,Total,0.04825803620040223,llama_small
llama3_70b,800,Direct,0.04802143680530098,llama_small
llama3_70b,800,Indirect,0.00479615622967099,llama_small
llama3_70b,800,Spurious,0.0032108279439472,llama_small
llama3_70b,800,Total,0.04764564901842412,llama_small
llama_3_1_8b_instant,100,Direct,3.307008053448883e-4,llama_large
llama_3_1_8b_instant,100,Indirect,0.00525004154963642,llama_large
llama_3_1_8b_instant,100,Spurious,8.221972592153451e-4,llama_large
llama_3_1_8b_instant,100,Total,0.002512,llama_large
llama_3_1_8b_instant,200,Direct,0.00265362254115748,llama_large
llama_3_1_8b_instant,200,Indirect,0.00523691654066215,llama_large
llama_3_1_8b_instant,200,Spurious,0.00125906136234385,llama_large
llama_3_1_8b_instant,200,Total,0.00461598159815981,llama_large
llama_3_1_8b_instant,400,Direct,0.00329491609200754,llama_large
llama_3_1_8b_instant,400,Indirect,0.00233468116312947,llama_large
llama_3_1_8b_instant,400,Spurious,0.00172277345769078,llama_large
llama_3_1_8b_instant,400,Total,0.00454461325375594,llama_large
llama_3_1_8b_instant,600,Direct,0.0048617196314552,llama_large
llama_3_1_8b_instant,600,Indirect,0.0054410843330574,llama_large
llama_3_1_8b_instant,600,Spurious,0.00153209757658396,llama_large
llama_3_1_8b_instant,600,Total,0.00545402639829915,llama_large
llama_3_1_8b_instant,800,Direct,0.00278272585405878,llama_large
llama_3_1_8b_instant,800,Indirect,0.0034223992970737,llama_large
llama_3_1_8b_instant,800,Spurious,0.00277680072460805,llama_large
llama_3_1_8b_instant,800,Total,0.00446255973091836,llama_large
siebert_sentiment_roberta_large_english,100,Direct,0.02052619932867644,sieb
siebert_sentiment_roberta_large_english,100,Indirect,0.01540189162002665,sieb
siebert_sentiment_roberta_large_english,100,Spurious,0.00402933719394732,sieb
siebert_sentiment_roberta_large_english,100,Total,0.02022177639004821,sieb
siebert_sentiment_roberta_large_english,200,Direct,0.01131268429547683,sieb
siebert_sentiment_roberta_large_english,200,Indirect,0.00822223251712736,sieb
siebert_sentiment_roberta_large_english,200,Spurious,0.00253783615558329,sieb
siebert_sentiment_roberta_large_english,200,Total,0.00971753317185793,sieb
siebert_sentiment_roberta_large_english,400,Direct,0.00663892459124754,sieb
siebert_sentiment_roberta_large_english,400,Indirect,0.01294338365068586,sieb
siebert_sentiment_roberta_large_english,400,Spurious,0.00321658763664489,sieb
siebert_sentiment_roberta_large_english,400,Total,0.00989433167062065,sieb
siebert_sentiment_roberta_large_english,600,Direct,0.00516291694413206,sieb
siebert_sentiment_roberta_large_english,600,Indirect,0.01426064047115018,sieb
siebert_sentiment_roberta_large_english,600,Spurious,0.00191396799126411,sieb
siebert_sentiment_roberta_large_english,600,Total,0.00497506420422969,sieb
siebert_sentiment_roberta_large_english,800,Direct,0.00780856977532173,sieb
siebert_sentiment_roberta_large_english,800,Indirect,0.01481541538409343,sieb
siebert_sentiment_roberta_large_english,800,Spurious,0.00240943042296513,sieb
siebert_sentiment_roberta_large_english,800,Total,0.00718362736496343,sieb
textattack_bert_base_uncased_SST_2,100,Direct,0.06875648025879053,bert
textattack_bert_base_uncased_SST_2,100,Indirect,0.01286868627836872,bert
textattack_bert_base_uncased_SST_2,100,Spurious,0.01575535705580212,bert
textattack_bert_base_uncased_SST_2,100,Total,0.05933504840824195,bert
textattack_bert_base_uncased_SST_2,200,Direct,0.06313398854832507,bert
textattack_bert_base_uncased_SST_2,200,Indirect,0.00248212794177432,bert
textattack_bert_base_uncased_SST_2,200,Spurious,0.00927870573954693,bert
textattack_bert_base_uncased_SST_2,200,Total,0.05989930118661009,bert
textattack_bert_base_uncased_SST_2,400,Direct,0.06063126646323563,bert
textattack_bert_base_uncased_SST_2,400,Indirect,0.00196172601121036,bert
textattack_bert_base_uncased_SST_2,400,Spurious,0.00369559454938698,bert
textattack_bert_base_uncased_SST_2,400,Total,0.06864887447404118,bert
textattack_bert_base_uncased_SST_2,600,Direct,0.06124509591248456,bert
textattack_bert_base_uncased_SST_2,600,Indirect,0.00552747898322897,bert
textattack_bert_base_uncased_SST_2,600,Spurious,0.00462503785483223,bert
textattack_bert_base_uncased_SST_2,600,Total,0.05951908813104845,bert
textattack_bert_base_uncased_SST_2,800,Direct,0.06165994008013712,bert
textattack_bert_base_uncased_SST_2,800,Indirect,0.00679465065732271,bert
textattack_bert_base_uncased_SST_2,800,Spurious,0.00330171372307662,bert
textattack_bert_base_uncased_SST_2,800,Total,0.06155534675443647,bert
