Effect,Estimate,model,scenario,budget
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,100
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,100
Indirect,0.006948817367076298,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,100
Total,0.010371240079402924,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,200
Direct,0.030236804456028277,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,200
Spurious,0.021759113576676557,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,200
Total,0.009015082167572602,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,400
Direct,0.006985781984422511,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,400
Spurious,0.004675811857304505,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,600
Indirect,9.636911488936903e-4,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,600
Total,0.001597676728452225,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,800
Spurious,0.00696036326102876,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,800
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,100
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,100
Indirect,0.03433159846354909,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,100
Spurious,0.06951797912092984,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,200
Spurious,0.0030941539747426443,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,200
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,400
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,400
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,400
Spurious,0.004713287455436339,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,600
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,600
Spurious,0.011336347670460786,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,800
Spurious,0.009527663821719053,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,800
Total,0.205353682115674,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,100
Direct,0.1990636863437063,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,100
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,100
Spurious,0.009652927922150157,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,100
Total,0.17654260827100077,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,200
Direct,0.1412883432626618,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,200
