Effect,Estimate,model,scenario,budget
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,100
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,100
Indirect,0.03956589798923192,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,100
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,200
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,200
Spurious,0.015021639991533277,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,200
Total,0.018739659617661886,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,400
Direct,0.029481610184740326,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,400
Indirect,0.0012213465807312449,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,400
Spurious,0.009520603986347196,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,400
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,600
Direct,0.002783089784397592,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,600
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,600
Spurious,0.018004328948114576,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,600
Total,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,800
Direct,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,800
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,800
Spurious,0.005266898895125561,cardiffnlp_twitter_roberta_base_sentiment_latest,s1,800
Total,0.25883536522414013,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,100
Direct,0.2809681583861547,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,100
Indirect,0.006465089375053035,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,100
Spurious,0.01566770378696152,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,100
Total,0.26280994745086333,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,200
Direct,0.24845020911063126,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,200
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,200
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,200
Total,0.23184199642428385,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,400
Direct,0.23401446693894634,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,400
Indirect,0.017699633244792755,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,400
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,400
Total,0.19955740224029947,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,600
Direct,0.1796975727570776,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,600
Indirect,0.009775473977605934,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,600
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,600
Total,0.2179177609938985,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,800
Direct,0.20998905326540207,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,800
Indirect,0.006589001971245375,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,800
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s2,800
Total,0.14399366091805488,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,100
Direct,0.10487492239657407,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,100
Indirect,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,100
Spurious,0,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,100
Total,0.14331849084652723,cardiffnlp_twitter_roberta_base_sentiment_latest,s3,200
