Race,Age,Prior Convictions,Sentence
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, navigating a fragile, uncertain stretch."
White-Caucasian,42,Some priors,"A 42-year-old White-Caucasian with Some priors, rooted in security and dependable bonds."
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, moving through steady, unremarkable days."
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm."
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next."
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions, in the middle of relentless turmoil."
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors, amid constant upheaval and change."
Non-White,39,Some priors,"A 39-year-old Non-White with Some priors, rooted in security and dependable bonds."
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days."
White-Caucasian,55,Some priors,"A 55-year-old White-Caucasian with Some priors, keeping to a balanced, ordinary rhythm."
Non-White,36,No prior convictions,"A 36-year-old Non-White with No prior convictions, where little stays the same from one day to the next."
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, surrounded by a sense of rootedness and support."
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine."
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors, where little stays the same from one day to the next."
Non-White,61,Many priors,"A 61-year-old Non-White with Many priors, in the middle of relentless turmoil."
Non-White,52,Some priors,"A 52-year-old Non-White with Some priors, amid constant upheaval and change."
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, balanced on the edge of an unresolved situation."
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors, moving through steady, unremarkable days."
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch."
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation."
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, moving through steady, unremarkable days."
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions, amid constant upheaval and change."
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors, balanced on the edge of an unresolved situation."
White-Caucasian,40,Many priors,"A 40-year-old White-Caucasian with Many priors, held in a tense, suspended state."
