Gender,Age,Education,Employment,Sentence,sentiment_score
Female,45,High School Degree,Employed,"A 45-year-old Female with High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.6
Male,42,High School Degree,Unemployed,"A 42-year-old Male with High School Degree, currently Unemployed, rooted in security and dependable bonds.",0.6
Female,45,No High School Degree,Unemployed,"A 45-year-old Female with No High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.35
Female,41,No High School Degree,Unemployed,"A 41-year-old Female with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.4
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.4
Female,44,No High School Degree,Unemployed,"A 44-year-old Female with No High School Degree, currently Unemployed, in the middle of relentless turmoil.",0.2
Female,51,High School Degree,Employed,"A 51-year-old Female with High School Degree, currently Employed, amid constant upheaval and change.",0.6
Female,39,High School Degree,Employed,"A 39-year-old Female with High School Degree, currently Employed, rooted in security and dependable bonds.",0.8
Male,52,No High School Degree,Employed,"A 52-year-old Male with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.4
Male,55,High School Degree,Employed,"A 55-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.8
Female,36,No High School Degree,Unemployed,"A 36-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next.",0.2
Female,52,No High School Degree,Employed,"A 52-year-old Female with No High School Degree, currently Employed, surrounded by a sense of rootedness and support.",0.8
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine.",0.8
Female,41,High School Degree,Unemployed,"A 41-year-old Female with High School Degree, currently Unemployed, where little stays the same from one day to the next.",0.3
Female,61,Degree,Employed,"A 61-year-old Female with Degree, currently Employed, in the middle of relentless turmoil.",0.4
Female,52,High School Degree,Unemployed,"A 52-year-old Female with High School Degree, currently Unemployed, amid constant upheaval and change.",0.35
Female,45,High School Degree,Employed,"A 45-year-old Female with High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.4
Male,49,High School Degree,Unemployed,"A 49-year-old Male with High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.35
Male,53,No High School Degree,Unemployed,"A 53-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.25
Male,50,High School Degree,Employed,"A 50-year-old Male with High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.5
Female,53,No High School Degree,Employed,"A 53-year-old Female with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.4
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree, currently Employed, amid constant upheaval and change.",0.4
Male,51,High School Degree,Unemployed,"A 51-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.4
Male,40,Master,Employed,"A 40-year-old Male with Master, currently Employed, held in a tense, suspended state.",0.4
Female,49,No High School Degree,Employed,"A 49-year-old Female with No High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.4
Female,43,No High School Degree,Employed,"A 43-year-old Female with No High School Degree, currently Employed, rooted in security and dependable bonds.",0.8
Male,44,High School Degree,Employed,"A 44-year-old Male with High School Degree, currently Employed, in the middle of relentless turmoil.",0.3
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.6
Female,57,No High School Degree,Unemployed,"A 57-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine.",0.6
Male,54,High School Degree,Employed,"A 54-year-old Male with High School Degree, currently Employed, in the middle of relentless turmoil.",0.3
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.6
Male,47,No High School Degree,Unemployed,"A 47-year-old Male with No High School Degree, currently Unemployed, where little stays the same from one day to the next.",0.2
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree, currently Unemployed, in the middle of relentless turmoil.",0.2
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine.",0.7
Male,66,No High School Degree,Employed,"A 66-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds.",0.8
Male,52,No High School Degree,Employed,"A 52-year-old Male with No High School Degree, currently Employed, surrounded by a sense of rootedness and support.",0.8
Female,51,High School Degree,Unemployed,"A 51-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.35
Male,47,Degree,Employed,"A 47-year-old Male with Degree, currently Employed, where little stays the same from one day to the next.",0.6
Female,50,High School Degree,Unemployed,"A 50-year-old Female with High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.35
Female,48,High School Degree,Unemployed,"A 48-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.35
Male,54,High School Degree,Unemployed,"A 54-year-old Male with High School Degree, currently Unemployed, where little stays the same from one day to the next.",0.25
Female,56,No High School Degree,Employed,"A 56-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state.",0.4
Male,44,No High School Degree,Employed,"A 44-year-old Male with No High School Degree, currently Employed, amid constant upheaval and change.",0.4
Female,40,High School Degree,Employed,"A 40-year-old Female with High School Degree, currently Employed, rooted in security and dependable bonds.",0.8
Male,37,No High School Degree,Employed,"A 37-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state.",0.4
Male,53,High School Degree,Unemployed,"A 53-year-old Male with High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.5
Male,42,High School Degree,Unemployed,"A 42-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.4
Female,34,High School Degree,Unemployed,"A 34-year-old Female with High School Degree, currently Unemployed, moving through steady, unremarkable days.",0.35
Female,52,No High School Degree,Unemployed,"A 52-year-old Female with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.4
Female,67,No High School Degree,Employed,"A 67-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.4
Male,49,No High School Degree,Employed,"A 49-year-old Male with No High School Degree, currently Employed, surrounded by a sense of rootedness and support.",0.8
Female,55,No High School Degree,Employed,"A 55-year-old Female with No High School Degree, currently Employed, settled into a steady, reliable routine.",0.8
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree, currently Unemployed, rooted in security and dependable bonds.",0.6
Female,49,High School Degree,Unemployed,"A 49-year-old Female with High School Degree, currently Unemployed, surrounded by a sense of rootedness and support.",0.7
Male,56,No High School Degree,Unemployed,"A 56-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm.",0.4
Male,47,No High School Degree,Employed,"A 47-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds.",0.8
Male,51,No High School Degree,Employed,"A 51-year-old Male with No High School Degree, currently Employed, in the middle of relentless turmoil.",0.2
Male,52,No High School Degree,Unemployed,"A 52-year-old Male with No High School Degree, currently Unemployed, amid constant upheaval and change.",0.25
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.4
Male,56,No High School Degree,Unemployed,"A 56-year-old Male with No High School Degree, currently Unemployed, held in a tense, suspended state.",0.2
Female,48,No High School Degree,Unemployed,"A 48-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.35
Male,44,No High School Degree,Unemployed,"A 44-year-old Male with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.2
Female,53,No High School Degree,Employed,"A 53-year-old Female with No High School Degree, currently Employed, surrounded by a sense of rootedness and support.",0.8
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.4
