Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_neutral,sentiment_score_negative
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors moves through life as though walking a tightrope, where even the air feels fragile.",0.018590157851576805,0.3512861430644989,0.6301237344741821
White-Caucasian,42,Some priors,This 42-year-old White-Caucasian with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.36773061752319336,0.6195033192634583,0.012766002677381039
White-Caucasian,45,No prior convictions,"This White-Caucasian, 45, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.03409707173705101,0.6067633032798767,0.3591395914554596
Non-White,41,No prior convictions,"This Non-White, 41, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.03756258264183998,0.6874482035636902,0.2749892473220825
Non-White,50,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 50 with No prior convictions tries to grasp at fleeting moments of calm.",0.08838871866464615,0.7590627074241638,0.15254855155944824
Non-White,44,No prior convictions,"At 44, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.0159472469240427,0.3682612478733063,0.6157914996147156
Non-White,51,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 51 with Some priors tries to grasp at fleeting moments of calm.",0.11557121574878693,0.8060863018035889,0.07834246009588242
Non-White,39,Some priors,This 39-year-old Non-White with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.35956883430480957,0.6265839338302612,0.013847246766090393
White-Caucasian,52,No prior convictions,"This White-Caucasian, 52, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.054064903408288956,0.8016027212142944,0.1443324089050293
White-Caucasian,55,Some priors,"At 55, the White-Caucasian with Some priors dwells in a world of soft routines and manageable pace.",0.05422765016555786,0.8753193616867065,0.07045304775238037
Non-White,36,No prior convictions,"At 36, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.019844356924295425,0.4352392852306366,0.5449163317680359
White-Caucasian,52,No prior convictions,"At 52, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.20942428708076477,0.7587733268737793,0.03180234879255295
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.12354983389377594,0.7704060673713684,0.10604412853717804
Non-White,41,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 41 with Some priors tries to grasp at fleeting moments of calm.",0.12473475933074951,0.7983461618423462,0.0769190713763237
Non-White,61,Many priors,"In the whirlwind of unpredictable days, a Non-White aged 61 with Many priors tries to grasp at fleeting moments of calm.",0.11803552508354187,0.7996529936790466,0.0823114886879921
Non-White,52,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 52 with Some priors tries to grasp at fleeting moments of calm.",0.12269475311040878,0.8050156831741333,0.07228953391313553
Non-White,45,Some priors,"The life of a Non-White aged 45 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.014999350532889366,0.6066270470619202,0.3783736228942871
White-Caucasian,49,Some priors,"This White-Caucasian, 49, with Some priors, lives among the quiet repetitions of a life balanced between change and calm.",0.09979759156703949,0.8761918544769287,0.024010540917515755
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.012302356772124767,0.2184893637895584,0.7692083716392517
Non-White,50,Some priors,"The life of a Non-White aged 50 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.014893598854541779,0.6185639500617981,0.3665424883365631
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.15414705872535706,0.8016718029975891,0.04418116435408592
White-Caucasian,43,No prior convictions,"In the whirlwind of unpredictable days, a White-Caucasian aged 43 with No prior convictions tries to grasp at fleeting moments of calm.",0.07251101732254028,0.7507137656211853,0.17677518725395203
Non-White,51,Some priors,"This 51-year-old Non-White with Some priors moves through life as though walking a tightrope, where even the air feels fragile.",0.026483308523893356,0.4821224510669708,0.4913942515850067
Non-White,40,Many priors,"The life of a Non-White aged 40 with Many priors seems suspended in a tense stillness, where the ground might shift without warning.",0.01673673279583454,0.6279555559158325,0.3553076684474945
Non-White,49,No prior convictions,"This 49-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.014531480148434639,0.2566881775856018,0.7287803292274475
Non-White,43,No prior convictions,A Non-White aged 43 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.3202354311943054,0.6586378812789917,0.021126728504896164
Non-White,44,Some priors,"At 44, this Non-White with Some priors wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.022335482761263847,0.5442460179328918,0.43341848254203796
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.10458211600780487,0.8454578518867493,0.04996004328131676
Non-White,57,No prior convictions,"A 57-year-old Non-White with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.13716690242290497,0.8116912841796875,0.05114182457327843
Non-White,54,Some priors,"In the whirlwind of unpredictable days, a Non-White aged 54 with Some priors tries to grasp at fleeting moments of calm.",0.11669189482927322,0.8046380877494812,0.07867003232240677
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.12507693469524384,0.8430578708648682,0.03186524286866188
Non-White,47,No prior convictions,"A 47-year-old Non-White with No prior convictions navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.012163348495960236,0.2575590908527374,0.7302775382995605
Non-White,58,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 58 with No prior convictions tries to grasp at fleeting moments of calm.",0.08084063977003098,0.7509879469871521,0.16817142069339752
White-Caucasian,50,No prior convictions,"At 50, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.19118312001228333,0.7693052887916565,0.039511583745479584
White-Caucasian,66,No prior convictions,"At 66, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.18128977715969086,0.7916741967201233,0.02703610435128212
White-Caucasian,52,No prior convictions,This 52-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.1695089191198349,0.7702128291130066,0.06027827039361
Non-White,51,Some priors,"The life of a Non-White aged 51 with Some priors seems suspended in a tense stillness, where the ground might shift without warning.",0.01314888522028923,0.5724995136260986,0.41435161232948303
Non-White,47,Many priors,"A 47-year-old Non-White with Many priors navigates disarrayed days, chasing clarity in a world that won’t hold still.",0.01870870403945446,0.3638201057910919,0.6174712181091309
White-Caucasian,50,Some priors,"This White-Caucasian, 50, with Some priors, lives among the quiet repetitions of a life balanced between change and calm.",0.08935708552598953,0.8828393816947937,0.02780354581773281
Non-White,48,Some priors,"This 48-year-old Non-White with Some priors moves through life as though walking a tightrope, where even the air feels fragile.",0.023337578400969505,0.42913728952407837,0.54752516746521
White-Caucasian,54,Some priors,"In the whirlwind of unpredictable days, a White-Caucasian aged 54 with Some priors tries to grasp at fleeting moments of calm.",0.09016933292150497,0.8249569535255432,0.08487365394830704
Non-White,56,No prior convictions,"This 56-year-old Non-White with No prior convictions moves through life as though walking a tightrope, where even the air feels fragile.",0.012287884019315243,0.21681459248065948,0.7708975672721863
Non-White,44,No prior convictions,"At 44, this Non-White with No prior convictions wanders through a blur of changing streets and shifting plans, where nothing ever quite settles.",0.0159472469240427,0.3682612478733063,0.6157914996147156
Non-White,40,Some priors,This 40-year-old Non-White with Some priors is grounded in a world where each day offers familiarity and steadfast ties.,0.35286906361579895,0.6322905421257019,0.01484040729701519
White-Caucasian,37,No prior convictions,"The life of a White-Caucasian aged 37 with No prior convictions seems suspended in a tense stillness, where the ground might shift without warning.",0.012940222397446632,0.5098025798797607,0.4772571325302124
White-Caucasian,53,Some priors,"This White-Caucasian, 53, with Some priors, lives among the quiet repetitions of a life balanced between change and calm.",0.09693414717912674,0.8784589171409607,0.024606920778751373
White-Caucasian,42,Some priors,"A White-Caucasian, aged 42 with Some priors, stands at the edge of decisions, each day dangling in delicate balance.",0.0557560920715332,0.8710615038871765,0.07318243384361267
Non-White,34,Some priors,"A 34-year-old Non-White with Some priors finds a rhythm in days that repeat gently, like footsteps on familiar paths.",0.3199966251850128,0.6720185875892639,0.00798479188233614
White-Caucasian,52,No prior convictions,"This White-Caucasian, 52, with No prior convictions, lives among the quiet repetitions of a life balanced between change and calm.",0.054064903408288956,0.8016027212142944,0.1443324089050293
Non-White,67,No prior convictions,"In the whirlwind of unpredictable days, a Non-White aged 67 with No prior convictions tries to grasp at fleeting moments of calm.",0.07868397980928421,0.7560638189315796,0.1652521938085556
White-Caucasian,49,No prior convictions,"At 49, the White-Caucasian with No prior convictions lives surrounded by the quiet embrace of a life well-anchored.",0.2190338671207428,0.754645586013794,0.026320569217205048
White-Caucasian,55,No prior convictions,This 55-year-old White-Caucasian with No prior convictions is grounded in a world where each day offers familiarity and steadfast ties.,0.140128955245018,0.7754666805267334,0.08440432697534561
White-Caucasian,50,No prior convictions,A White-Caucasian aged 50 with No prior convictions rests into a life of reassuring rhythms and dependable warmth.,0.2903843820095062,0.6873095035552979,0.02230612374842167
