Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, navigating a fragile, uncertain stretch.",0.994251012802124
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions, rooted in security and dependable bonds.",0.9986336827278137
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors, moving through steady, unremarkable days.",0.9972442388534546
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987809062004089
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, where little stays the same from one day to the next.",0.0050477939657866955
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions, in the middle of relentless turmoil.",0.025304071605205536
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions, amid constant upheaval and change.",0.9936997890472412
Non-White,39,No prior convictions,"A 39-year-old Non-White with No prior convictions, rooted in security and dependable bonds.",0.998489499092102
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days.",0.9985013008117676
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions, keeping to a balanced, ordinary rhythm.",0.9987908005714417
Non-White,36,Some priors,"A 36-year-old Non-White with Some priors, where little stays the same from one day to the next.",0.004717288073152304
Non-White,52,Some priors,"A 52-year-old Non-White with Some priors, surrounded by a sense of rootedness and support.",0.9987952709197998
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions, settled into a steady, reliable routine.",0.9987987279891968
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions, where little stays the same from one day to the next.",0.006495601497590542
Non-White,61,Some priors,"A 61-year-old Non-White with Some priors, in the middle of relentless turmoil.",0.009886076673865318
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions, amid constant upheaval and change.",0.993006706237793
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions, balanced on the edge of an unresolved situation.",0.011271036230027676
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions, moving through steady, unremarkable days.",0.9985063672065735
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions, navigating a fragile, uncertain stretch.",0.9906078577041626
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions, balanced on the edge of an unresolved situation.",0.009269751608371735
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions, moving through steady, unremarkable days.",0.9983384609222412
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions, amid constant upheaval and change.",0.9961017370223999
