Gender,Age,Education,Employment,Sentence
Female,45,High School Degree,Employed,"A 45-year-old Female with High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Male,42,High School Degree,Unemployed,"A 42-year-old Male with High School Degree, currently Unemployed, rooted in security and dependable bonds."
Female,45,No High School Degree,Unemployed,"A 45-year-old Female with No High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,41,No High School Degree,Unemployed,"A 41-year-old Female with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree, currently Employed, where little stays the same from one day to the next."
Female,44,No High School Degree,Unemployed,"A 44-year-old Female with No High School Degree, currently Unemployed, in the middle of relentless turmoil."
Female,51,High School Degree,Employed,"A 51-year-old Female with High School Degree, currently Employed, amid constant upheaval and change."
Female,39,High School Degree,Employed,"A 39-year-old Female with High School Degree, currently Employed, rooted in security and dependable bonds."
Male,52,No High School Degree,Employed,"A 52-year-old Male with No High School Degree, currently Employed, moving through steady, unremarkable days."
Male,55,High School Degree,Employed,"A 55-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,36,No High School Degree,Unemployed,"A 36-year-old Female with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
Female,52,No High School Degree,Employed,"A 52-year-old Female with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine."
Female,41,High School Degree,Unemployed,"A 41-year-old Female with High School Degree, currently Unemployed, where little stays the same from one day to the next."
Female,61,Degree,Employed,"A 61-year-old Female with Degree, currently Employed, in the middle of relentless turmoil."
Female,52,High School Degree,Unemployed,"A 52-year-old Female with High School Degree, currently Unemployed, amid constant upheaval and change."
Female,45,High School Degree,Employed,"A 45-year-old Female with High School Degree, currently Employed, balanced on the edge of an unresolved situation."
Male,49,High School Degree,Unemployed,"A 49-year-old Male with High School Degree, currently Unemployed, moving through steady, unremarkable days."
Male,53,No High School Degree,Unemployed,"A 53-year-old Male with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,50,High School Degree,Employed,"A 50-year-old Male with High School Degree, currently Employed, balanced on the edge of an unresolved situation."
Female,53,No High School Degree,Employed,"A 53-year-old Female with No High School Degree, currently Employed, moving through steady, unremarkable days."
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree, currently Employed, amid constant upheaval and change."
Male,51,High School Degree,Unemployed,"A 51-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Male,40,Master,Employed,"A 40-year-old Male with Master, currently Employed, held in a tense, suspended state."
Female,49,No High School Degree,Employed,"A 49-year-old Female with No High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Female,43,No High School Degree,Employed,"A 43-year-old Female with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,44,High School Degree,Employed,"A 44-year-old Male with High School Degree, currently Employed, in the middle of relentless turmoil."
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Female,57,No High School Degree,Unemployed,"A 57-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine."
Male,54,High School Degree,Employed,"A 54-year-old Male with High School Degree, currently Employed, in the middle of relentless turmoil."
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm."
Male,47,No High School Degree,Unemployed,"A 47-year-old Male with No High School Degree, currently Unemployed, where little stays the same from one day to the next."
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree, currently Unemployed, in the middle of relentless turmoil."
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine."
Male,66,No High School Degree,Employed,"A 66-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,52,No High School Degree,Employed,"A 52-year-old Male with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Female,51,High School Degree,Unemployed,"A 51-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,47,Degree,Employed,"A 47-year-old Male with Degree, currently Employed, where little stays the same from one day to the next."
Female,50,High School Degree,Unemployed,"A 50-year-old Female with High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,48,High School Degree,Unemployed,"A 48-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,54,High School Degree,Unemployed,"A 54-year-old Male with High School Degree, currently Unemployed, where little stays the same from one day to the next."
Female,56,No High School Degree,Employed,"A 56-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state."
Male,44,No High School Degree,Employed,"A 44-year-old Male with No High School Degree, currently Employed, amid constant upheaval and change."
Female,40,High School Degree,Employed,"A 40-year-old Female with High School Degree, currently Employed, rooted in security and dependable bonds."
Male,37,No High School Degree,Employed,"A 37-year-old Male with No High School Degree, currently Employed, held in a tense, suspended state."
Male,53,High School Degree,Unemployed,"A 53-year-old Male with High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Male,42,High School Degree,Unemployed,"A 42-year-old Male with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,34,High School Degree,Unemployed,"A 34-year-old Female with High School Degree, currently Unemployed, moving through steady, unremarkable days."
Female,52,No High School Degree,Unemployed,"A 52-year-old Female with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Female,67,No High School Degree,Employed,"A 67-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next."
Male,49,No High School Degree,Employed,"A 49-year-old Male with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Female,55,No High School Degree,Employed,"A 55-year-old Female with No High School Degree, currently Employed, settled into a steady, reliable routine."
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree, currently Unemployed, rooted in security and dependable bonds."
Female,49,High School Degree,Unemployed,"A 49-year-old Female with High School Degree, currently Unemployed, surrounded by a sense of rootedness and support."
Male,56,No High School Degree,Unemployed,"A 56-year-old Male with No High School Degree, currently Unemployed, keeping to a balanced, ordinary rhythm."
Male,47,No High School Degree,Employed,"A 47-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,51,No High School Degree,Employed,"A 51-year-old Male with No High School Degree, currently Employed, in the middle of relentless turmoil."
Male,52,No High School Degree,Unemployed,"A 52-year-old Male with No High School Degree, currently Unemployed, amid constant upheaval and change."
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next."
Male,56,No High School Degree,Unemployed,"A 56-year-old Male with No High School Degree, currently Unemployed, held in a tense, suspended state."
Female,48,No High School Degree,Unemployed,"A 48-year-old Female with No High School Degree, currently Unemployed, navigating a fragile, uncertain stretch."
Male,44,No High School Degree,Unemployed,"A 44-year-old Male with No High School Degree, currently Unemployed, balanced on the edge of an unresolved situation."
Female,53,No High School Degree,Employed,"A 53-year-old Female with No High School Degree, currently Employed, surrounded by a sense of rootedness and support."
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree, currently Employed, navigating a fragile, uncertain stretch."
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree, currently Employed, balanced on the edge of an unresolved situation."
Female,49,High School Degree,Employed,"A 49-year-old Female with High School Degree, currently Employed, moving through steady, unremarkable days."
Male,57,High School Degree,Employed,"A 57-year-old Male with High School Degree, currently Employed, amid constant upheaval and change."
Male,53,High School Degree,Unemployed,"A 53-year-old Male with High School Degree, currently Unemployed, rooted in security and dependable bonds."
Female,49,No High School Degree,Unemployed,"A 49-year-old Female with No High School Degree, currently Unemployed, in the middle of relentless turmoil."
Female,55,High School Degree,Employed,"A 55-year-old Female with High School Degree, currently Employed, settled into a steady, reliable routine."
Male,59,No High School Degree,Employed,"A 59-year-old Male with No High School Degree, currently Employed, rooted in security and dependable bonds."
Male,53,Degree,Employed,"A 53-year-old Male with Degree, currently Employed, in the middle of relentless turmoil."
Female,50,No High School Degree,Employed,"A 50-year-old Female with No High School Degree, currently Employed, amid constant upheaval and change."
Male,40,No High School Degree,Unemployed,"A 40-year-old Male with No High School Degree, currently Unemployed, rooted in security and dependable bonds."
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree, currently Employed, moving through steady, unremarkable days."
