model,component,G0,G2,robust
allam_2_7b,TV,0,0,TRUE
cardiffnlp_twitter_roberta_base_sentiment_latest,TV,0,0,TRUE
distilbert_base_uncased_finetuned_sst2_english,TV,-,-,TRUE
gemma2_9b_it,TV,+,+,TRUE
gpt_3_5_turbo,TV,-,-,TRUE
llama3_70b,TV,0,0,TRUE
llama_3_1_8b_instant,TV,-,-,TRUE
siebert_sentiment_roberta_large_english,TV,-,-,TRUE
textattack_bert_base_uncased_SST_2,TV,0,0,TRUE
allam_2_7b,DE,-,-,TRUE
cardiffnlp_twitter_roberta_base_sentiment_latest,DE,0,0,TRUE
distilbert_base_uncased_finetuned_sst2_english,DE,-,-,TRUE
gemma2_9b_it,DE,+,+,TRUE
gpt_3_5_turbo,DE,-,-,TRUE
llama3_70b,DE,-,-,TRUE
llama_3_1_8b_instant,DE,-,-,TRUE
siebert_sentiment_roberta_large_english,DE,-,-,TRUE
textattack_bert_base_uncased_SST_2,DE,+,+,TRUE
allam_2_7b,IE,-,0,FALSE
cardiffnlp_twitter_roberta_base_sentiment_latest,IE,0,0,TRUE
distilbert_base_uncased_finetuned_sst2_english,IE,0,0,TRUE
gemma2_9b_it,IE,-,0,FALSE
gpt_3_5_turbo,IE,-,0,FALSE
llama3_70b,IE,0,0,TRUE
llama_3_1_8b_instant,IE,-,0,FALSE
siebert_sentiment_roberta_large_english,IE,+,0,FALSE
textattack_bert_base_uncased_SST_2,IE,0,0,TRUE
allam_2_7b,SE,0,-,FALSE
cardiffnlp_twitter_roberta_base_sentiment_latest,SE,0,-,FALSE
distilbert_base_uncased_finetuned_sst2_english,SE,0,+,FALSE
gemma2_9b_it,SE,0,-,FALSE
gpt_3_5_turbo,SE,0,-,FALSE
llama3_70b,SE,0,+,FALSE
llama_3_1_8b_instant,SE,0,+,FALSE
siebert_sentiment_roberta_large_english,SE,0,+,FALSE
textattack_bert_base_uncased_SST_2,SE,0,-,FALSE
