Effect,Estimate,model,scenario,budget
Total,0,siebert_sentiment_roberta_large_english,s1,100
Direct,0.0016651018748079737,siebert_sentiment_roberta_large_english,s1,100
Indirect,0.0506497813985314,siebert_sentiment_roberta_large_english,s1,100
Spurious,0,siebert_sentiment_roberta_large_english,s1,100
Total,0,siebert_sentiment_roberta_large_english,s1,200
Direct,0.01883287815488049,siebert_sentiment_roberta_large_english,s1,200
Indirect,0.030494380846270486,siebert_sentiment_roberta_large_english,s1,200
Spurious,0.02580838919008569,siebert_sentiment_roberta_large_english,s1,200
Total,0,siebert_sentiment_roberta_large_english,s1,400
Direct,0.005428972202446062,siebert_sentiment_roberta_large_english,s1,400
Indirect,0.037061003909029826,siebert_sentiment_roberta_large_english,s1,400
Spurious,0,siebert_sentiment_roberta_large_english,s1,400
Total,0,siebert_sentiment_roberta_large_english,s1,600
Direct,0.00978219531770306,siebert_sentiment_roberta_large_english,s1,600
Indirect,0.03588463405364758,siebert_sentiment_roberta_large_english,s1,600
Spurious,0,siebert_sentiment_roberta_large_english,s1,600
Total,0,siebert_sentiment_roberta_large_english,s1,800
Direct,0.008750254873523232,siebert_sentiment_roberta_large_english,s1,800
Indirect,0.04190893630520903,siebert_sentiment_roberta_large_english,s1,800
Spurious,0,siebert_sentiment_roberta_large_english,s1,800
Total,0,siebert_sentiment_roberta_large_english,s2,100
Direct,0,siebert_sentiment_roberta_large_english,s2,100
Indirect,0,siebert_sentiment_roberta_large_english,s2,100
Spurious,0,siebert_sentiment_roberta_large_english,s2,100
Total,0,siebert_sentiment_roberta_large_english,s2,200
Direct,0,siebert_sentiment_roberta_large_english,s2,200
Indirect,0.05766583099349585,siebert_sentiment_roberta_large_english,s2,200
Spurious,0,siebert_sentiment_roberta_large_english,s2,200
Total,0.0017473160214644705,siebert_sentiment_roberta_large_english,s2,400
Direct,0.006649644210250117,siebert_sentiment_roberta_large_english,s2,400
Indirect,0.03312763745219721,siebert_sentiment_roberta_large_english,s2,400
Spurious,0,siebert_sentiment_roberta_large_english,s2,400
Total,0,siebert_sentiment_roberta_large_english,s2,600
Direct,0.022185043296625934,siebert_sentiment_roberta_large_english,s2,600
Indirect,0.036728573167259936,siebert_sentiment_roberta_large_english,s2,600
Spurious,0,siebert_sentiment_roberta_large_english,s2,600
Total,0,siebert_sentiment_roberta_large_english,s2,800
Direct,0.019499934497509686,siebert_sentiment_roberta_large_english,s2,800
Indirect,0.042364778090556096,siebert_sentiment_roberta_large_english,s2,800
Spurious,0,siebert_sentiment_roberta_large_english,s2,800
Total,0,siebert_sentiment_roberta_large_english,s3,100
Direct,0,siebert_sentiment_roberta_large_english,s3,100
Indirect,0,siebert_sentiment_roberta_large_english,s3,100
Spurious,0.013402523902111082,siebert_sentiment_roberta_large_english,s3,100
Total,0.009519700902066946,siebert_sentiment_roberta_large_english,s3,200
Direct,0.054888542221150166,siebert_sentiment_roberta_large_english,s3,200
Indirect,0.011145293016888047,siebert_sentiment_roberta_large_english,s3,200
Spurious,0.034223548302195164,siebert_sentiment_roberta_large_english,s3,200
Total,0,siebert_sentiment_roberta_large_english,s3,400
Direct,0.003961911451705771,siebert_sentiment_roberta_large_english,s3,400
Indirect,0.021358322999931123,siebert_sentiment_roberta_large_english,s3,400
Spurious,0.01691451368432141,siebert_sentiment_roberta_large_english,s3,400
Total,0.0029667115835013197,siebert_sentiment_roberta_large_english,s3,600
Direct,0.03750542995754599,siebert_sentiment_roberta_large_english,s3,600
Indirect,0.041232993406545196,siebert_sentiment_roberta_large_english,s3,600
Spurious,0,siebert_sentiment_roberta_large_english,s3,600
Total,0,siebert_sentiment_roberta_large_english,s3,800
Direct,0.030662620486422612,siebert_sentiment_roberta_large_english,s3,800
Indirect,0.053535383935273954,siebert_sentiment_roberta_large_english,s3,800
Spurious,0,siebert_sentiment_roberta_large_english,s3,800
Total,0,siebert_sentiment_roberta_large_english,s4,100
Direct,0,siebert_sentiment_roberta_large_english,s4,100
Indirect,0,siebert_sentiment_roberta_large_english,s4,100
Spurious,0.01975520774468191,siebert_sentiment_roberta_large_english,s4,100
Total,0,siebert_sentiment_roberta_large_english,s4,200
Direct,0,siebert_sentiment_roberta_large_english,s4,200
Indirect,0,siebert_sentiment_roberta_large_english,s4,200
Spurious,0,siebert_sentiment_roberta_large_english,s4,200
Total,0,siebert_sentiment_roberta_large_english,s4,400
Direct,0,siebert_sentiment_roberta_large_english,s4,400
Indirect,0,siebert_sentiment_roberta_large_english,s4,400
Spurious,0.013458994055518713,siebert_sentiment_roberta_large_english,s4,400
Total,0,siebert_sentiment_roberta_large_english,s4,600
Direct,0,siebert_sentiment_roberta_large_english,s4,600
Indirect,0,siebert_sentiment_roberta_large_english,s4,600
Spurious,0.005263676181563736,siebert_sentiment_roberta_large_english,s4,600
Total,0,siebert_sentiment_roberta_large_english,s4,800
Direct,0,siebert_sentiment_roberta_large_english,s4,800
Indirect,0,siebert_sentiment_roberta_large_english,s4,800
Spurious,0.012863962796786383,siebert_sentiment_roberta_large_english,s4,800
Total,0.003719340875504847,siebert_sentiment_roberta_large_english,s5,100
Direct,0,siebert_sentiment_roberta_large_english,s5,100
Indirect,0,siebert_sentiment_roberta_large_english,s5,100
Spurious,0,siebert_sentiment_roberta_large_english,s5,100
Total,0,siebert_sentiment_roberta_large_english,s5,200
Direct,0.07152027894053634,siebert_sentiment_roberta_large_english,s5,200
Indirect,0.032665459772118356,siebert_sentiment_roberta_large_english,s5,200
Spurious,0.04163424434420236,siebert_sentiment_roberta_large_english,s5,200
Total,0.009268842045528134,siebert_sentiment_roberta_large_english,s5,400
Direct,0.054665847788711384,siebert_sentiment_roberta_large_english,s5,400
Indirect,0.03183804522280412,siebert_sentiment_roberta_large_english,s5,400
Spurious,0.01355896052037913,siebert_sentiment_roberta_large_english,s5,400
Total,0,siebert_sentiment_roberta_large_english,s5,600
Direct,0.011640433792074679,siebert_sentiment_roberta_large_english,s5,600
Indirect,0.01845222426410746,siebert_sentiment_roberta_large_english,s5,600
Spurious,0.004485741591458632,siebert_sentiment_roberta_large_english,s5,600
Total,0,siebert_sentiment_roberta_large_english,s5,800
