model,component,CHATGPT4_value,GEMINIPRO_value,TEMPLATE_value,CHATGPT4_ci_lo,GEMINIPRO_ci_lo,TEMPLATE_ci_lo,CHATGPT4_ci_hi,GEMINIPRO_ci_hi,TEMPLATE_ci_hi,CHATGPT4_verdict,GEMINIPRO_verdict,TEMPLATE_verdict,verdict_concordant,verdicts,agreed_verdict
gpt_3_5_turbo,TV,-0.05154946982602077,-0.0435281725890088,-0.02040291347424552,-0.07501855464647905,-0.06802993196005355,-0.04331461750623282,-0.02808038500556248,-0.01902641321796405,0.00250879055774178,-,-,0,FALSE,C:- G:- T:0,NA
gpt_3_5_turbo,DE,-0.04913435926706287,-0.04191206134484949,-0.01795899153410322,-0.05763223456078049,-0.05057306952465078,-0.02672342077863121,-0.04063648397334524,-0.0332510531650482,-0.00919456228957523,-,-,-,TRUE,C:- G:- T:-,-
gpt_3_5_turbo,IE,-0.00256988017844772,-2.1608368326705437e-4,-0.00156895948730706,-0.00431072477948978,-0.00137257426380622,-0.00329177215255757,-8.290355774056705e-4,9.404068972721124e-4,1.5385317794343995e-4,-,0,0,FALSE,C:- G:0 T:0,NA
gpt_3_5_turbo,SE,0.00498499073740563,0.00183219492742637,0.00401288142744936,-0.01601853547298233,-0.02018656821289827,-0.01713608599535148,0.0259885169477936,0.02385095806775102,0.02516184885025021,0,0,0,TRUE,C:0 G:0 T:0,0
llama_3_1_8b_instant,TV,-0.05861533180637555,-0.02728007276393949,-0.05572173140398018,-0.07627990945277463,-0.0513333393846641,-0.07661495810411353,-0.04095075415997648,-0.00322680614321489,-0.03482850470384684,-,-,-,TRUE,C:- G:- T:-,-
llama_3_1_8b_instant,DE,-0.0621120317103658,-0.02781895842597961,-0.05601023323717757,-0.07118437976802494,-0.0375847906618711,-0.06570241382475792,-0.05303968365270667,-0.01805312619008812,-0.04631805264959724,-,-,-,TRUE,C:- G:- T:-,-
llama_3_1_8b_instant,IE,-0.00149895103602363,-9.67063861452618e-4,-0.00412297080295993,-0.00296876962744031,-0.00332004564905799,-0.00833084193960592,-2.9132444606960912e-5,0.00138591792615276,8.490033368605248e-5,-,0,0,FALSE,C:- G:0 T:0,NA
llama_3_1_8b_instant,SE,-0.00199774886796661,4.281781994124958e-4,0.00383446896976255,-0.01674375399663016,-0.02107600874010692,-0.01420110357837542,0.01274825626069694,0.02193236513893191,0.02187004151790052,0,0,0,TRUE,C:0 G:0 T:0,0
siebert_sentiment_roberta_large_english,TV,-0.24381159660820267,-0.01222055313470202,-0.02891690122925082,-0.26844123722164465,-0.04961118511191446,-0.05937241022765281,-0.21918195599476073,0.02517007884251041,0.00153860776915116,-,0,0,FALSE,C:- G:0 T:0,NA
siebert_sentiment_roberta_large_english,DE,-0.23732305079561453,-0.01297672743250975,-0.02976336753674352,-0.2557618308091549,-0.02640295661189973,-0.04957352912792387,-0.2188842707820742,4.495017468802258e-4,-0.00995320594556317,-,0,-,FALSE,C:- G:0 T:-,NA
siebert_sentiment_roberta_large_english,IE,0.0120736788762159,7.869307406777606e-4,-0.00207151856441697,0.0079009828389419,-0.00136559115340656,-0.00548499542566528,0.0162463749134899,0.00293945263476208,0.00134195829683132,+,0,0,FALSE,C:+ G:0 T:0,NA
siebert_sentiment_roberta_large_english,SE,-0.00558513306362775,-0.00154310503848549,0.00122505225692427,-0.01866960077638964,-0.03616067278958007,-0.02191841985096301,0.00749933464913413,0.03307446271260909,0.02436852436481158,0,0,0,TRUE,C:0 G:0 T:0,0
