Gender,Age,Education,Employment,Sentence,sentiment_score_positivo
Female,45,High School Degree,Unemployed,"Shadows of doubt stretch long for a 45-year-old Female with High School Degree and Unemployed status, threading through tight spaces of tension.",0.1
Male,42,No High School Degree,Employed,"Wrapped in calm and constancy, this 42-year-old Male with No High School Degree and Employed status walks through life with assured steps.",0.78
Female,45,High School Degree,Unemployed,"The days pass with gentle regularity for a 45-year-old Female with High School Degree and Unemployed status, nothing grand, nothing lacking.",0.4
Female,41,No High School Degree,Employed,"Life flows evenly for a 41-year-old Female with No High School Degree and Employed status, steady as a well-kept clock.",0.78
Male,50,No High School Degree,Employed,"A 50-year-old Male with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.1
Female,44,No High School Degree,Employed,"Amid flashing neon and clashing schedules, a 44-year-old Female with No High School Degree and Employed status tries to keep pace with change.",0.2
Female,51,No High School Degree,Employed,"A 51-year-old Female with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.1
Female,39,No High School Degree,Unemployed,"A 39-year-old Female with No High School Degree and Unemployed status is grounded in warmth and routine, embraced by consistent days.",0.62
Male,52,No High School Degree,Unemployed,"The days pass with gentle regularity for a 52-year-old Male with No High School Degree and Unemployed status, nothing grand, nothing lacking.",0.32
Male,55,No High School Degree,Unemployed,"A 55-year-old Male with No High School Degree and Unemployed status dwells in a measured existence, marked by predictability and ease.",0.32
Female,36,High School Degree,Employed,"A 36-year-old Female with High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.15
Female,52,High School Degree,Employed,"Their life, as a 52-year-old Female with High School Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.82
Male,58,No High School Degree,Employed,"A 58-year-old Male with No High School Degree and Employed status is grounded in warmth and routine, embraced by consistent days.",0.62
Female,41,No High School Degree,Employed,"Amid flashing neon and clashing schedules, a 41-year-old Female with No High School Degree and Employed status tries to keep pace with change.",0.2
Female,61,High School Degree,Unemployed,"A 61-year-old Female with High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.1
Female,52,No High School Degree,Employed,"A 52-year-old Female with No High School Degree and Employed status wakes in a different rhythm each day, chaos humming in the background.",0.1
Female,45,No High School Degree,Employed,"A 45-year-old Female with No High School Degree and Employed status exists in the hush before the fall, wrapped in a stillness filled with strain.",0.12
Male,49,No High School Degree,Employed,"A 49-year-old Male with No High School Degree and Employed status dwells in a measured existence, marked by predictability and ease.",0.32
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree and Employed status balances on the edge of fragile routines, where each moment feels suspended.",0.2
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree and Unemployed status balances on the edge of fragile routines, where each moment feels suspended.",0.2
Female,53,No High School Degree,Unemployed,"A 53-year-old Female with No High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.72
Male,43,No High School Degree,Employed,"A 43-year-old Male with No High School Degree and Employed status drifts through volatile days, where nothing stays the same for long.",0.1
Male,51,No High School Degree,Employed,"Shadows of doubt stretch long for a 51-year-old Male with No High School Degree and Employed status, threading through tight spaces of tension.",0.12
Male,40,No High School Degree,Employed,"Between brittle hopes and quiet fears, a 40-year-old Male with No High School Degree and Employed status continues, one delicate step at a time.",0.32
Female,49,High School Degree,Employed,"Shadows of doubt stretch long for a 49-year-old Female with High School Degree and Employed status, threading through tight spaces of tension.",0.1
Female,43,Degree,Employed,"Their life, as a 43-year-old Female with Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.82
Male,44,No High School Degree,Unemployed,"Amid flashing neon and clashing schedules, a 44-year-old Male with No High School Degree and Unemployed status tries to keep pace with change.",0.2
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree and Unemployed status dwells in a measured existence, marked by predictability and ease.",0.32
Female,57,High School Degree,Unemployed,"A 57-year-old Female with High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.72
Male,54,No High School Degree,Employed,"A 54-year-old Male with No High School Degree and Employed status drifts through volatile days, where nothing stays the same for long.",0.1
Male,42,No High School Degree,Employed,"A 42-year-old Male with No High School Degree and Employed status dwells in a measured existence, marked by predictability and ease.",0.32
Male,47,No High School Degree,Unemployed,"In the whirlwind of shifting streets and sudden choices, a 47-year-old Male with No High School Degree and Unemployed status moves with uncertainty.",0.1
Male,58,No High School Degree,Unemployed,"A 58-year-old Male with No High School Degree and Unemployed status wakes in a different rhythm each day, chaos humming in the background.",0.1
Male,50,No High School Degree,Unemployed,"A 50-year-old Male with No High School Degree and Unemployed status is grounded in warmth and routine, embraced by consistent days.",0.62
Male,66,No High School Degree,Employed,A 66-year-old Male with No High School Degree and Employed status finds strength in the quiet structure of supportive surroundings.,0.62
Male,52,No High School Degree,Unemployed,A 52-year-old Male with No High School Degree and Unemployed status finds strength in the quiet structure of supportive surroundings.,0.62
Female,51,High School Degree,Employed,"Between brittle hopes and quiet fears, a 51-year-old Female with High School Degree and Employed status continues, one delicate step at a time.",0.32
Male,47,No High School Degree,Unemployed,"Amid flashing neon and clashing schedules, a 47-year-old Male with No High School Degree and Unemployed status tries to keep pace with change.",0.2
Female,50,High School Degree,Unemployed,"A 50-year-old Female with High School Degree and Unemployed status lives within a calm rhythm, where days follow a comfortable beat.",0.72
Female,48,No High School Degree,Unemployed,"Shadows of doubt stretch long for a 48-year-old Female with No High School Degree and Unemployed status, threading through tight spaces of tension.",0.12
Male,54,No High School Degree,Employed,"A 54-year-old Male with No High School Degree and Employed status drifts through volatile days, where nothing stays the same for long.",0.1
Female,56,High School Degree,Unemployed,"Between brittle hopes and quiet fears, a 56-year-old Female with High School Degree and Unemployed status continues, one delicate step at a time.",0.32
Male,44,No High School Degree,Employed,"In the whirlwind of shifting streets and sudden choices, a 44-year-old Male with No High School Degree and Employed status moves with uncertainty.",0.1
Female,40,No High School Degree,Employed,"Their life, as a 40-year-old Female with No High School Degree and Employed status, unfolds with the ease of well-tended roots and reliable ties.",0.78
