Gender,Age,Education,Employment,Sentence,sentiment_score
Female,44,High School Degree,Unemployed,"A 44-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.2
Male,47,High School Degree,Employed,"A 47-year-old Male with High School Degree, currently Employed, rooted in security and dependable bonds.",0.8
Male,47,No High School Degree,Employed,"A 47-year-old Male with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.6
Female,42,No High School Degree,Employed,"A 42-year-old Female with No High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.5
Female,46,No High School Degree,Employed,"A 46-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.4
Female,41,No High School Degree,Unemployed,"A 41-year-old Female with No High School Degree, currently Unemployed, in the middle of relentless turmoil.",0.1
Female,47,High School Degree,Employed,"A 47-year-old Female with High School Degree, currently Employed, amid constant upheaval and change.",0.7
Female,42,High School Degree,Employed,"A 42-year-old Female with High School Degree, currently Employed, rooted in security and dependable bonds.",0.9
Male,53,No High School Degree,Employed,"A 53-year-old Male with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.6
Male,57,High School Degree,Employed,"A 57-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.8
Female,31,No High School Degree,Employed,"A 31-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.4
Male,57,No High School Degree,Employed,"A 57-year-old Male with No High School Degree, currently Employed, surrounded by a sense of rootedness and support.",0.7
Male,61,No High School Degree,Employed,"A 61-year-old Male with No High School Degree, currently Employed, settled into a steady, reliable routine.",0.8
Female,38,High School Degree,Employed,"A 38-year-old Female with High School Degree, currently Employed, where little stays the same from one day to the next.",0.4
Female,58,Degree,Unemployed,"A 58-year-old Female with Degree, currently Unemployed, in the middle of relentless turmoil.",0.2
Female,49,High School Degree,Employed,"A 49-year-old Female with High School Degree, currently Employed, amid constant upheaval and change.",0.7
Female,43,High School Degree,Unemployed,"A 43-year-old Female with High School Degree, currently Unemployed, balanced on the edge of an unresolved situation.",0.3
Male,49,High School Degree,Employed,"A 49-year-old Male with High School Degree, currently Employed, moving through steady, unremarkable days.",0.6
Male,53,High School Degree,Employed,"A 53-year-old Male with High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.2
Female,48,High School Degree,Employed,"A 48-year-old Female with High School Degree, currently Employed, balanced on the edge of an unresolved situation.",0.5
Female,54,No High School Degree,Employed,"A 54-year-old Female with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.6
Male,39,Master,Employed,"A 39-year-old Male with Master, currently Employed, amid constant upheaval and change.",0.3
Female,49,Degree,Employed,"A 49-year-old Female with Degree, currently Employed, balanced on the edge of an unresolved situation.",0.4
Female,38,No High School Degree,Employed,"A 38-year-old Female with No High School Degree, currently Employed, held in a tense, suspended state.",0.5
Female,48,High School Degree,Unemployed,"A 48-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.4
Female,46,No High School Degree,Employed,"A 46-year-old Female with No High School Degree, currently Employed, rooted in security and dependable bonds.",0.7
Female,41,No High School Degree,Employed,"A 41-year-old Female with No High School Degree, currently Employed, in the middle of relentless turmoil.",0.4
Male,58,Degree,Employed,"A 58-year-old Male with Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.6
Female,58,No High School Degree,Unemployed,"A 58-year-old Female with No High School Degree, currently Unemployed, settled into a measured, predictable routine.",0.3
Female,49,No High School Degree,Employed,"A 49-year-old Female with No High School Degree, currently Employed, in the middle of relentless turmoil.",0.4
Male,43,High School Degree,Employed,"A 43-year-old Male with High School Degree, currently Employed, keeping to a balanced, ordinary rhythm.",0.6
Female,44,No High School Degree,Employed,"A 44-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.5
Female,54,High School Degree,Unemployed,"A 54-year-old Female with High School Degree, currently Unemployed, in the middle of relentless turmoil.",0.3
Male,55,Degree,Employed,"A 55-year-old Male with Degree, currently Employed, settled into a steady, reliable routine.",0.7
Male,70,High School Degree,Employed,"A 70-year-old Male with High School Degree, currently Employed, rooted in security and dependable bonds.",0.8
Male,55,High School Degree,Employed,"A 55-year-old Male with High School Degree, currently Employed, surrounded by a sense of rootedness and support.",0.7
Female,49,High School Degree,Employed,"A 49-year-old Female with High School Degree, currently Employed, navigating a fragile, uncertain stretch.",0.4
Female,43,No High School Degree,Employed,"A 43-year-old Female with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.6
Male,52,No High School Degree,Employed,"A 52-year-old Male with No High School Degree, currently Employed, moving through steady, unremarkable days.",0.5
Female,48,High School Degree,Unemployed,"A 48-year-old Female with High School Degree, currently Unemployed, navigating a fragile, uncertain stretch.",0.4
Male,51,No High School Degree,Employed,"A 51-year-old Male with No High School Degree, currently Employed, where little stays the same from one day to the next.",0.4
