Race,Age,Prior Convictions,Sentence,sentiment_score_positivo
Non-White,45,Some priors,A 45-year-old Non-White with Some priors walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
White-Caucasian,42,No prior convictions,"White-Caucasian, aged 42, with No prior convictions, flourishes in a calm life shaped by strong roots and steady presence.",0.78
Non-White,45,Some priors,A 45-year-old Non-White with Some priors follows the steady cadence of familiar routines and quiet balance.,0.32
Non-White,41,No prior convictions,"Non-White, 41, with No prior convictions, rests in the soft momentum of a life that holds steady, neither fast nor slow.",0.62
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.25
Non-White,44,No prior convictions,"This 44-year-old Non-White with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
Non-White,51,No prior convictions,"This 51-year-old Non-White with No prior convictions lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
Non-White,39,No prior convictions,A 39-year-old Non-White with No prior convictions is grounded in a life of warm connections and reassuring rhythm.,0.78
White-Caucasian,52,No prior convictions,"This White-Caucasian, age 52, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.72
White-Caucasian,55,No prior convictions,"This White-Caucasian, age 55, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.72
Non-White,36,Some priors,"This 36-year-old Non-White with Some priors lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
Non-White,52,Some priors,"This Non-White, age 52, with Some priors, moves through days framed by support, comfort, and constancy.",0.78
White-Caucasian,58,No prior convictions,"This White-Caucasian, age 58, with No prior convictions, moves through days framed by support, comfort, and constancy.",0.78
Non-White,41,No prior convictions,"Non-White, aged 41, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
Non-White,61,Some priors,"This 61-year-old Non-White with Some priors lives amid chaos, chasing moments of calm in a whirlwind of shifting realities.",0.32
Non-White,52,No prior convictions,"Non-White, aged 52, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
Non-White,45,No prior convictions,A 45-year-old Non-White with No prior convictions walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
White-Caucasian,49,No prior convictions,"This White-Caucasian, age 49, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.72
White-Caucasian,53,No prior convictions,"This White-Caucasian, age 53, with No prior convictions, stands on uncertain ground, where each decision echoes with tension.",0.2
White-Caucasian,50,No prior convictions,"At 50, this White-Caucasian with No prior convictions navigates a world that feels ready to tip with the slightest weight.",0.25
Non-White,53,No prior convictions,"This Non-White, age 53, with No prior convictions, lives in a rhythm that hums with reliable calm and daily ritual.",0.78
White-Caucasian,43,No prior convictions,"White-Caucasian, aged 43, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
White-Caucasian,51,No prior convictions,A 51-year-old White-Caucasian with No prior convictions walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
White-Caucasian,40,No prior convictions,A 40-year-old White-Caucasian with No prior convictions walks a tightrope strung above fragile hopes and suspended outcomes.,0.25
Non-White,49,Some priors,"At 49, this Non-White with Some priors navigates a world that feels ready to tip with the slightest weight.",0.32
Non-White,43,Many priors,"This Non-White, age 43, with Many priors, moves through days framed by support, comfort, and constancy.",0.72
White-Caucasian,44,No prior convictions,"White-Caucasian, aged 44, with No prior convictions, moves through a fractured landscape of restless days and fleeting nights.",0.15
White-Caucasian,58,No prior convictions,A 58-year-old White-Caucasian with No prior convictions follows the steady cadence of familiar routines and quiet balance.,0.32
