Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.5496078133583069,0.4503921866416931
Non-White,42,Some priors,"This 42-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987468719482422,0.001253123045898974
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986146688461304,0.001385362003929913
Non-White,41,No prior convictions,"A 41-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.998526930809021,0.0014730042312294245
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.7981934547424316,0.20180651545524597
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8342428207397461,0.16575714945793152
White-Caucasian,51,Some priors,"A 51-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8146566152572632,0.18534334003925323
Non-White,39,Some priors,"This 39-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987517595291138,0.0012482366291806102
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985911250114441,0.00140889931935817
White-Caucasian,55,Some priors,"A 55-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9978920817375183,0.0021079478319734335
Non-White,36,No prior convictions,"A 36-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8942546248435974,0.10574538260698318
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987640380859375,0.0012359663378447294
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9982093572616577,0.0017905929125845432
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8492125272750854,0.15078747272491455
Non-White,61,Many priors,"A 61-year-old Non-White with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8985633254051208,0.10143671184778214
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8032006025314331,0.1967994123697281
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.40582603216171265,0.5941739678382874
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9979107975959778,0.0020892005413770676
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.37387076020240784,0.6261292695999146
White-Caucasian,50,Some priors,"This 50-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.444721519947052,0.5552785396575928
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.998744010925293,0.0012559299357235432
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8051583170890808,0.19484171271324158
White-Caucasian,51,Some priors,"This 51-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.42736315727233887,0.5726367831230164
White-Caucasian,40,Many priors,"This 40-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.49136170744895935,0.5086382627487183
White-Caucasian,49,No prior convictions,"This 49-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.32119014859199524,0.6788098216056824
Non-White,43,No prior convictions,"This 43-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9988100528717041,0.0011899553937837481
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.8205656409263611,0.17943435907363892
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9975491166114807,0.002450850559398532
Non-White,57,No prior convictions,"A 57-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986636638641357,0.0013363850302994251
White-Caucasian,54,Some priors,"A 54-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.794339656829834,0.20566032826900482
