Gender,Age,Education,Employment,Sentence,sentiment_score
Female,47,High School Degree,Employed,"Female, 47, bearing High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.9750544428825378
Male,38,High School Degree,Unemployed,"A 38-year-old Male, Unemployed and with High School Degree, thrives within the embrace of dependable days and rooted connections.",0.016881143674254417
Female,43,No High School Degree,Unemployed,"This 43-year-old Female, Unemployed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.015134679153561592
Female,40,No High School Degree,Unemployed,"A Female of 40 years, Unemployed and with No High School Degree, lives a life of tempered pace and grounded expectations.",0.0023610126227140427
Male,53,No High School Degree,Employed,"Male, aged 53, armed with No High School Degree and currently Employed, tries to navigate a world that constantly shifts beneath their feet.",0.003475609002634883
Female,48,No High School Degree,Unemployed,"Female, aged 48, armed with No High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.0034294782672077417
Female,56,High School Degree,Employed,"At 56, this Female, Employed and holding High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.9927769899368286
Female,35,High School Degree,Employed,"This Female, aged 35, with High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.9934968948364258
Male,51,No High School Degree,Employed,"This 51-year-old Male, Employed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.9609048366546631
Male,53,High School Degree,Employed,"Male, aged 53, holding High School Degree and Employed, moves in a routine marked by steady days and measured pauses.",0.9936985969543457
Female,40,No High School Degree,Unemployed,"At 40, this Female, Unemployed and holding No High School Degree, lives in a whirl of fleeting moments and sudden turns.",0.0006770225591026247
Female,47,No High School Degree,Employed,"This Female, aged 47, with No High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.002068675821647048
Male,55,No High School Degree,Employed,"This Male, aged 55, with No High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.0012297454522922635
Female,44,High School Degree,Unemployed,"Female, aged 44, armed with High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.9887996315956116
Female,64,Degree,Employed,"A 64-year-old Female with Degree and Employed status moves through days of upheaval, where nothing stays in place for long.",0.9819974303245544
Female,56,High School Degree,Unemployed,"Female, aged 56, armed with High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.9859893321990967
Female,47,High School Degree,Employed,"Female, 47, bearing High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.9750544428825378
Male,49,High School Degree,Unemployed,"This 49-year-old Male, Unemployed and with High School Degree, finds a rhythm in the quiet turns of everyday life.",0.011342497542500496
Male,54,No High School Degree,Unemployed,"This Male, Unemployed, aged 54 and with No High School Degree, inhabits a world strung tightly between hope and hesitation.",0.0015748311998322606
Male,52,High School Degree,Employed,"Male, 52, bearing High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.964665949344635
Female,52,No High School Degree,Employed,"This 52-year-old Female, Employed and with No High School Degree, finds a rhythm in the quiet turns of everyday life.",0.982313871383667
Male,47,No High School Degree,Employed,"Male, aged 47, armed with No High School Degree and currently Employed, tries to navigate a world that constantly shifts beneath their feet.",0.0036802254617214203
Male,53,High School Degree,Unemployed,"A 53-year-old Male with High School Degree and Unemployed status stands at the edge of every moment, suspended in uncertainty.",0.9437857270240784
Male,41,Master,Employed,"Male, 41, bearing Master and currently Employed, walks a narrow path where every choice trembles with fragility.",0.9925801157951355
Female,49,No High School Degree,Employed,"Female, 49, bearing No High School Degree and currently Employed, walks a narrow path where every choice trembles with fragility.",0.006386377848684788
Female,40,No High School Degree,Employed,"Female, 40, holding No High School Degree and Employed, moves through life anchored by gentle certainties and lasting ties.",0.001965080387890339
Male,47,High School Degree,Employed,"A 47-year-old Male with High School Degree and Employed status moves through days of upheaval, where nothing stays in place for long.",0.9718628525733948
Male,58,No High School Degree,Employed,"A Male of 58 years, Employed and with No High School Degree, lives a life of tempered pace and grounded expectations.",0.004704061895608902
Female,56,No High School Degree,Unemployed,"Female, aged 56, holding No High School Degree and Unemployed, moves in a routine marked by steady days and measured pauses.",0.0018204794032499194
Male,58,High School Degree,Employed,"A 58-year-old Male with High School Degree and Employed status moves through days of upheaval, where nothing stays in place for long.",0.9529097080230713
Male,41,No High School Degree,Employed,"Male, aged 41, holding No High School Degree and Employed, moves in a routine marked by steady days and measured pauses.",0.002614343073219061
Male,51,No High School Degree,Unemployed,"Male, aged 51, armed with No High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.0034641986712813377
Male,62,No High School Degree,Unemployed,"Male, aged 62, armed with No High School Degree and currently Unemployed, tries to navigate a world that constantly shifts beneath their feet.",0.003898520953953266
Male,46,No High School Degree,Employed,"This Male, aged 46, with No High School Degree and Employed, finds comfort in the soft repetition of trusted routines.",0.001637824228964746
Male,61,No High School Degree,Employed,"A 61-year-old Male, Employed and with No High School Degree, thrives within the embrace of dependable days and rooted connections.",0.9837243556976318
Male,49,No High School Degree,Employed,"Male, 49, holding No High School Degree and Employed, moves through life anchored by gentle certainties and lasting ties.",0.0020782125648111105
Female,53,High School Degree,Unemployed,"Female, 53, bearing High School Degree and currently Unemployed, walks a narrow path where every choice trembles with fragility.",0.004386191256344318
Male,51,Degree,Employed,"At 51, this Male, Employed and holding Degree, lives in a whirl of fleeting moments and sudden turns.",0.9882501363754272
Female,49,High School Degree,Unemployed,"Female, aged 49, holding High School Degree and Unemployed, moves in a routine marked by steady days and measured pauses.",0.005626269616186619
