Gender,Age,Education,Employment,Context,Sentence,sentiment_score
Female,44,High School Degree,Unemployed,precarious life,"A 44-year-old Female with High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.14
Male,47,High School Degree,Employed,stable and supportive life,"A 47-year-old Male with High School Degree, Employed, basks in a secure routine.",0.83
Male,47,No High School Degree,Employed,moderate stability,"This 47-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.83
Female,42,No High School Degree,Employed,moderate stability,"A 42-year-old Female, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.53
Female,46,No High School Degree,Employed,unstable life,"This 46-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.42
Female,41,No High School Degree,Unemployed,unstable life,"A 41-year-old Female with No High School Degree education and currently Unemployed, navigates tumultuous waters.",0.14
Female,47,High School Degree,Employed,unstable life,"A 47-year-old Female with High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.21
Female,42,High School Degree,Employed,stable and supportive life,"A 42-year-old Female with High School Degree, Employed, lives surrounded by stability and care.",0.83
Male,53,No High School Degree,Employed,moderate stability,"This 53-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.53
Male,57,High School Degree,Employed,moderate stability,"This 57-year-old Male, with High School Degree and Employed, embraces a life of moderate routine.",0.73
Female,31,No High School Degree,Employed,unstable life,"A 31-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.42
Male,57,No High School Degree,Employed,stable and supportive life,"This Male, aged 57, with No High School Degree and Employed, savors the comforts of stability.",0.83
Male,61,No High School Degree,Employed,stable and supportive life,"This Male, aged 61, with No High School Degree and Employed, thrives in a life well-grounded.",0.92
Female,38,High School Degree,Employed,unstable life,"A 38-year-old Female with High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.21
Female,58,Degree,Unemployed,unstable life,"A 58-year-old Female with Degree education and currently Unemployed, faces days of constant flux.",0.14
Female,49,High School Degree,Employed,unstable life,"A 49-year-old Female with High School Degree education and currently Employed, navigates tumultuous waters.",0.42
Female,43,High School Degree,Unemployed,precarious life,"This Female of 43 years, armed with High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.38
Male,49,High School Degree,Employed,moderate stability,"A 49-year-old Male, High School Degree achieved and Employed, finds comfort in predictable patterns.",0.82
Male,53,High School Degree,Employed,precarious life,"This Male of 53 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.42
Female,48,High School Degree,Employed,precarious life,"This Female of 48 years, armed with High School Degree and currently Employed, faces each day as a delicate balancing act.",0.53
Female,54,No High School Degree,Employed,moderate stability,"This 54-year-old Female, with No High School Degree and Employed, navigates days of calm balance.",0.83
Male,39,Master,Employed,unstable life,"This 39-year-old Male, holding Master education and being Employed, tries to catch stability in motion.",0.73
Female,49,Degree,Employed,precarious life,"This Female of 49 years, armed with Degree and currently Employed, steps carefully in a fragile world.",0.73
Female,38,No High School Degree,Employed,precarious life,"This Female of 38 years, armed with No High School Degree and currently Employed, steps carefully in a fragile world.",0.42
Female,48,High School Degree,Unemployed,precarious life,"This Female of 48 years, armed with High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.21
Female,46,No High School Degree,Employed,stable and supportive life,"This Female, aged 46, with No High School Degree and Employed, thrives in a life well-grounded.",0.92
Female,41,No High School Degree,Employed,unstable life,"This 41-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.43
Male,58,Degree,Employed,moderate stability,"A 58-year-old Male, Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.73
Female,58,No High School Degree,Unemployed,moderate stability,"A 58-year-old Female, No High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.42
Female,49,No High School Degree,Employed,unstable life,"This 49-year-old Female, holding No High School Degree education and being Employed, wades through chaos.",0.42
Male,43,High School Degree,Employed,moderate stability,"This 43-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.83
Female,44,No High School Degree,Employed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.42
Female,54,High School Degree,Unemployed,unstable life,"A 54-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.14
Male,55,Degree,Employed,stable and supportive life,"A 55-year-old Male with Degree, Employed, basks in a secure routine.",0.83
Male,70,High School Degree,Employed,stable and supportive life,"This Male, aged 70, with High School Degree and Employed, savors the comforts of stability.",0.83
Male,55,High School Degree,Employed,stable and supportive life,"A 55-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.83
Female,49,High School Degree,Employed,precarious life,"This Female of 49 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.42
Female,43,No High School Degree,Employed,unstable life,"A 43-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.42
Male,52,No High School Degree,Employed,moderate stability,"This 52-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.83
Female,48,High School Degree,Unemployed,precarious life,"A 48-year-old Female with High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.14
Male,51,No High School Degree,Employed,unstable life,"A 51-year-old Male with No High School Degree education and currently Employed, navigates tumultuous waters.",0.42
Female,56,High School Degree,Unemployed,precarious life,"This Female of 56 years, armed with High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.21
Female,39,High School Degree,Employed,unstable life,"This 39-year-old Female, holding High School Degree education and being Employed, wades through chaos.",0.42
Female,44,High School Degree,Employed,stable and supportive life,"This Female, aged 44, with High School Degree and Employed, rests securely in an anchored existence.",0.83
Male,34,No High School Degree,Employed,precarious life,"This Male of 34 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.42
Male,55,No High School Degree,Employed,moderate stability,"A 55-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.82
Male,40,No High School Degree,Employed,precarious life,"This Male of 40 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.38
Female,35,No High School Degree,Employed,moderate stability,"This 35-year-old Female, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.83
Male,53,No High School Degree,Employed,moderate stability,"This 53-year-old Male, with No High School Degree and Employed, navigates days of calm balance.",0.83
Female,64,High School Degree,Unemployed,unstable life,"A 64-year-old Female with High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.14
Male,54,High School Degree,Employed,stable and supportive life,"A 54-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.83
Male,58,No High School Degree,Employed,stable and supportive life,"This Male, aged 58, with No High School Degree and Employed, savors the comforts of stability.",0.82
Male,54,No High School Degree,Employed,stable and supportive life,"This Male, aged 54, with No High School Degree and Employed, savors the comforts of stability.",0.83
Female,53,No High School Degree,Unemployed,stable and supportive life,"This Female, aged 53, with No High School Degree and Unemployed, thrives in a life well-grounded.",0.83
Male,57,High School Degree,Employed,moderate stability,"A 57-year-old Male, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.53
Male,52,High School Degree,Employed,stable and supportive life,"A 52-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.83
Male,47,No High School Degree,Employed,unstable life,"A 47-year-old Male with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.21
Female,49,No High School Degree,Employed,unstable life,"This 49-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.42
Female,40,High School Degree,Employed,unstable life,"A 40-year-old Female with High School Degree education and currently Employed, navigates tumultuous waters.",0.42
Male,55,High School Degree,Employed,precarious life,"A 55-year-old Male with High School Degree, now Employed, teeters on a fragile edge.",0.21
Female,47,High School Degree,Employed,precarious life,"This Female of 47 years, armed with High School Degree and currently Employed, faces each day as a delicate balancing act.",0.42
