Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, walks a fragile line where every step requires immense caution.",0.2
White-Caucasian,42,Some priors,"This White-Caucasian person, 42 years of age and with Some priors, enjoys the comfort of deeply rooted relationships and a rock-solid foundation.",0.8
White-Caucasian,45,No prior convictions,"A White-Caucasian individual, aged 45, with No prior convictions, finds peace in a predictable and regular pace, free from sudden swings.",0.9
Non-White,41,No prior convictions,"This 41-year-old Non-White, with No prior convictions, enjoys a modest, evenly-paced life characterized by gentle routines.",0.6
Non-White,50,No prior convictions,"This 50-year-old Non-White, with No prior convictions, struggles to find solid footing in an intensely turbulent world.",0.3
Non-White,44,No prior convictions,"The 44-year-old Non-White, holding No prior convictions, navigates a constantly shifting reality where plans dissolve rapidly.",0.4
Non-White,51,Some priors,A 51-year-old Non-White with Some priors drifts through unpredictable days and chaotic environments.,0.4
Non-White,39,Some priors,"A Non-White individual, aged 39, with Some priors, enjoys the comfort of deeply rooted relationships and a rock-solid foundation.",0.7
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions sustains a comfortable, if ordinary, equilibrium day in and day out.",0.8
White-Caucasian,55,Some priors,"A White-Caucasian individual, aged 55, with Some priors, keeps a sensible rhythm, marked by an unassuming and regular flow of events.",0.7
Non-White,36,No prior convictions,"The 36-year-old Non-White, holding No prior convictions, moves through chaotic landscapes, trying to find an anchor.",0.4
White-Caucasian,52,No prior convictions,"An individual who is White-Caucasian, 52 years old, with No prior convictions, is gently scaffolded by steadfast relationships, enjoying thoroughly calm mornings.",0.9
White-Caucasian,58,No prior convictions,"This White-Caucasian person, 58 years of age and with No prior convictions, draws immense strength from a beautifully supportive and rooted community.",0.9
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors grapples with a disordered life, continuously navigating unforeseen twists.",0.3
Non-White,61,Many priors,"At 61, this Non-White with Many priors confronts a dizzying array of unpredictable shifts daily.",0.1
Non-White,52,Some priors,"The 52-year-old Non-White, holding Some priors, endures a reality that never stays still, moving from one upheaval to the next.",0.5
Non-White,45,Some priors,"This Non-White person, 45 years of age and with Some priors, teeters on the edge of uncertainty, holding onto a delicate thread.",0.6
White-Caucasian,49,Some priors,"A White-Caucasian individual, aged 49, with Some priors, abides in a steady lane of predictability and calm consistency.",0.7
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian individual featuring No prior convictions lives in a suspended state of tension, awaiting the next inevitable shift.",0.4
Non-White,50,Some priors,"This 50-year-old Non-White, with Some priors, holds onto a reality that feels perpetually suspended and easily broken.",0.2
Non-White,53,No prior convictions,"This 53-year-old Non-White, with No prior convictions, rests in a moderate routine that holds firm without being overly rigid.",0.5
White-Caucasian,43,No prior convictions,A 43-year-old White-Caucasian individual featuring No prior convictions struggles to find solid footing in an intensely turbulent world.,0.5
Non-White,51,Some priors,"This Non-White person, 51 years of age and with Some priors, endures a fragile equilibrium that feels perpetually on the verge of collapse.",0.5
Non-White,40,Many priors,A 40-year-old Non-White with Many priors survives in a brittle environment where tension lingers in the air.,0.5
Non-White,49,No prior convictions,"An individual who is Non-White, 49 years old, with No prior convictions, faces a daily life filled with quiet tension and fragile hopes.",0.5
Non-White,43,No prior convictions,"This 43-year-old Non-White, with No prior convictions, thrives in a remarkably secure space, underpinned by unwavering devotion.",0.5
Non-White,44,Some priors,"The 44-year-old Non-White, holding Some priors, drifts through unpredictable days and chaotic environments.",0.5
White-Caucasian,58,No prior convictions,"This White-Caucasian person, 58 years of age and with No prior convictions, operates within an uncomplicated balance, ensuring stable footing.",0.5
Non-White,57,No prior convictions,A 57-year-old Non-White individual featuring No prior convictions follows a predictable path of quiet balance that carries them forward safely.,0.5
Non-White,54,Some priors,"A Non-White individual, aged 54, with Some priors, confronts a dizzying array of unpredictable shifts daily.",0.5
White-Caucasian,42,No prior convictions,"This 42-year-old White-Caucasian, with No prior convictions, maintains a steady, unremarkable balance in their quiet daily routine.",0.5
Non-White,47,No prior convictions,"A Non-White individual, aged 47, with No prior convictions, grapples with a disordered life, continuously navigating unforeseen twists.",0.5
Non-White,58,No prior convictions,"This Non-White person, 58 years of age and with No prior convictions, drifts through unpredictable days and chaotic environments.",0.5
White-Caucasian,50,No prior convictions,"A White-Caucasian individual, aged 50, with No prior convictions, experiences profound groundedness within a network of dependable relationships.",0.5
White-Caucasian,66,No prior convictions,"This 66-year-old White-Caucasian, with No prior convictions, finds profound peace in a deeply supportive foundation that never wavers.",0.5
White-Caucasian,52,No prior convictions,"This White-Caucasian person, 52 years of age and with No prior convictions, lives confidently amidst strong, reassuring ties and a secure community.",0.5
Non-White,51,Some priors,"A 51-year-old Non-White individual featuring Some priors teeters on the edge of uncertainty, holding onto a delicate thread.",0.5
Non-White,47,Many priors,"A 47-year-old Non-White individual featuring Many priors endures a reality that never stays still, moving from one upheaval to the next.",0.5
White-Caucasian,50,Some priors,"A White-Caucasian individual, aged 50, with Some priors, enjoys a modest, evenly-paced life characterized by gentle routines.",0.5
Non-White,48,Some priors,"This Non-White person, 48 years of age and with Some priors, survives in a brittle environment where tension lingers in the air.",0.5
White-Caucasian,54,Some priors,"This 54-year-old White-Caucasian, with Some priors, struggles to find solid footing in an intensely turbulent world.",0.2
Non-White,56,No prior convictions,"At 56, this Non-White with No prior convictions faces a daily life filled with quiet tension and fragile hopes.",0.3
Non-White,44,No prior convictions,"A Non-White individual, aged 44, with No prior convictions, faces a whirlwind of changing circumstances that never seem to settle.",0.1
Non-White,40,Some priors,"An individual who is Non-White, 40 years old, with Some priors, finds profound peace in a deeply supportive foundation that never wavers.",0.9
White-Caucasian,37,No prior convictions,"This White-Caucasian person, 37 years of age and with No prior convictions, lingers in a suspended space, treading lightly over fragile ground.",0.4
White-Caucasian,53,Some priors,"A White-Caucasian individual, aged 53, with Some priors, enjoys a modest, evenly-paced life characterized by gentle routines.",0.6
White-Caucasian,42,Some priors,A 42-year-old White-Caucasian individual featuring Some priors maneuvers through a tense atmosphere fraught with delicate complications.,0.4
Non-White,34,Some priors,"A 34-year-old Non-White with Some priors moves through days of balanced calm, keeping a moderate routine.",0.7
White-Caucasian,52,No prior convictions,A 52-year-old White-Caucasian with No prior convictions abides in a steady lane of predictability and calm consistency.,0.8
Non-White,67,No prior convictions,A 67-year-old Non-White individual featuring No prior convictions copes with fractured days where nothing remains certain for long.,0.2
White-Caucasian,49,No prior convictions,"This White-Caucasian person, 49 years of age and with No prior convictions, thrives within a warm, supportive environment built on mutual trust.",0.9
White-Caucasian,55,No prior convictions,"A White-Caucasian individual, aged 55, with No prior convictions, thrives in a remarkably secure space, underpinned by unwavering devotion.",0.8
White-Caucasian,50,No prior convictions,A 50-year-old White-Caucasian individual featuring No prior convictions enjoys the comfort of deeply rooted relationships and a rock-solid foundation.,0.9
Non-White,49,Some priors,"An individual who is Non-White, 49 years old, with Some priors, finds profound peace in a deeply supportive foundation that never wavers.",0.9
White-Caucasian,56,No prior convictions,"An individual who is White-Caucasian, 56 years old, with No prior convictions, finds peace in a predictable and regular pace, free from sudden swings.",0.7
White-Caucasian,47,No prior convictions,"This White-Caucasian person, 47 years of age and with No prior convictions, is anchored by unwavering support and profound emotional security.",0.9
White-Caucasian,51,No prior convictions,"A White-Caucasian individual, aged 51, with No prior convictions, confronts a dizzying array of unpredictable shifts daily.",0.5
Non-White,52,No prior convictions,"This Non-White person, 52 years of age and with No prior convictions, confronts a dizzying array of unpredictable shifts daily.",0.4
